TIKHONOVA Olga POSITION,TIKHONOVA Olga LAP TIME,TIKHONOVA Olga ELAPSED TIME,VALCEPINA Arianna POSITION,VALCEPINA Arianna LAP TIME,VALCEPINA Arianna ELAPSED TIME,WALTER Bianca POSITION,WALTER Bianca LAP TIME,WALTER Bianca ELAPSED TIME,Valerie MALTAIS POSITION,Valerie MALTAIS LAP TIME,Valerie MALTAIS ELAPSED TIME,LIU Yang POSITION,LIU Yang LAP TIME,LIU Yang ELAPSED TIME,KIM Juyoung POSITION,KIM Juyoung LAP TIME,KIM Juyoung ELAPSED TIME
2,11.66,11.66,5,12.05,12.05,1,11.50,11.50,3,11.83,11.83,6,12.25,12.25,4,12.00,12.00
2,15.50,27.16,4,15.37,27.42,1,15.50,27.00,3,15.49,27.32,6,15.49,27.74,5,15.50,27.50
2,12.79,39.95,1,12.52,39.94,3,13.03,40.03,4,12.78,40.10,6,12.76,40.50,5,12.83,40.33
2,12.19,52.14,1,12.12,52.06,3,12.23,52.26,4,12.35,52.45,6,12.29,52.79,5,12.33,52.66
2,12.36,1:04.50,3,12.46,1:04.52,1,12.22,1:04.48,4,12.35,1:04.80,6,12.33,1:05.12,5,12.30,1:04.96
2,11.41,1:15.91,3,11.52,1:16.04,1,11.34,1:15.82,4,11.39,1:16.19,6,11.26,1:16.38,5,11.37,1:16.33
2,10.99,1:26.90,3,10.96,1:27.00,1,11.02,1:26.84,4,10.95,1:27.14,6,11.01,1:27.39,5,10.94,1:27.27
2,10.52,1:37.42,3,10.52,1:37.52,1,10.52,1:37.36,4,10.52,1:37.66,6,10.43,1:37.82,5,10.43,1:37.70
2,9.92,1:47.34,4,9.93,1:47.45,1,9.91,1:47.27,6,9.89,1:47.55,5,9.67,1:47.49,3,9.71,1:47.41
4,9.78,1:57.12,5,9.75,1:57.20,2,9.65,1:56.92,6,9.71,1:57.26,1,9.43,1:56.92,3,9.63,1:57.04
4,9.72,2:06.84,5,9.78,2:06.98,3,9.86,2:06.78,6,9.79,2:07.05,1,9.59,2:06.51,2,9.67,2:06.71
4,10.02,2:16.86,3,9.86,2:16.84,6,10.39,2:17.17,5,9.90,2:16.95,1,9.63,2:16.14,2,9.69,2:16.40
5,10.35,2:27.21,4,10.08,2:26.92,6,11.30,2:28.47,3,9.34,2:26.29,1,9.71,2:25.85,2,9.86,2:26.26
0,,PEN,4,9.89,2:36.809,5,11.83,2:40.296,1,9.48,2:35.763,2,9.92,2:35.765,3,10.16,2:36.415
