XU Hongzhi POSITION,XU Hongzhi LAP TIME,XU Hongzhi ELAPSED TIME,Felix SPIEGL POSITION,Felix SPIEGL LAP TIME,Felix SPIEGL ELAPSED TIME,Edin BRANKOVIC POSITION,Edin BRANKOVIC LAP TIME,Edin BRANKOVIC ELAPSED TIME,VANHOOREN Rino POSITION,VANHOOREN Rino LAP TIME,VANHOOREN Rino ELAPSED TIME,Tsvetan TSANKOV POSITION,Tsvetan TSANKOV LAP TIME,Tsvetan TSANKOV ELAPSED TIME,Thomas Insuk HONG POSITION,Thomas Insuk HONG LAP TIME,Thomas Insuk HONG ELAPSED TIME,William PREUDHOMME POSITION,William PREUDHOMME LAP TIME,William PREUDHOMME ELAPSED TIME
3,9.41,9.41,5,9.73,9.73,6,9.88,9.88,2,9.19,9.19,4,9.57,9.57,1,9.08,9.08,7,10.03,10.03
3,12.32,21.73,5,12.22,21.95,6,12.20,22.08,2,12.41,21.60,4,12.27,21.84,1,12.43,21.51,7,12.17,22.20
3,11.89,33.62,5,11.85,33.80,6,11.86,33.94,2,11.88,33.48,4,11.85,33.69,1,11.87,33.38,7,11.89,34.09
1,11.72,45.34,5,11.99,45.79,6,11.96,45.90,3,12.01,45.49,4,11.94,45.63,2,12.04,45.42,7,11.92,46.01
1,11.38,56.72,4,11.10,56.89,6,11.16,57.06,2,11.25,56.74,5,11.30,56.93,3,11.40,56.82,7,11.18,57.19
3,10.32,1:07.04,2,10.03,1:06.92,6,10.34,1:07.40,1,10.05,1:06.79,5,10.37,1:07.30,4,10.37,1:07.19,7,10.33,1:07.52
4,9.69,1:16.73,3,9.69,1:16.61,6,9.59,1:16.99,2,9.76,1:16.55,5,9.58,1:16.88,1,9.35,1:16.54,7,9.48,1:17.00
5,9.32,1:26.05,2,9.20,1:25.81,7,9.39,1:26.38,3,9.38,1:25.93,6,9.33,1:26.21,1,9.19,1:25.73,4,9.01,1:26.01
4,9.06,1:35.11,1,8.94,1:34.75,7,9.21,1:35.59,5,9.19,1:35.12,6,9.10,1:35.31,2,9.13,1:34.86,3,8.94,1:34.95
4,9.00,1:44.11,1,8.98,1:43.73,7,9.11,1:44.70,5,9.12,1:44.24,6,9.00,1:44.31,2,8.93,1:43.79,3,8.93,1:43.88
4,9.04,1:53.15,2,8.89,1:52.62,7,9.31,1:54.01,5,9.17,1:53.41,6,9.15,1:53.46,1,8.71,1:52.50,3,8.86,1:52.74
4,9.27,2:02.42,3,8.93,2:01.55,7,9.54,2:03.55,5,9.34,2:02.75,6,9.37,2:02.83,1,8.93,2:01.43,2,8.80,2:01.54
4,9.61,2:12.03,3,9.31,2:10.86,7,9.86,2:13.41,5,9.58,2:12.33,6,9.72,2:12.55,1,9.03,2:10.46,2,9.10,2:10.64
4,10.09,2:22.113,3,9.51,2:20.37,7,10.37,2:23.776,5,9.84,2:22.171,6,10.01,2:22.562,1,9.47,2:19.93,2,9.47,2:20.11
