Ashwin Calen DSILVA POSITION,Ashwin Calen DSILVA LAP TIME,Ashwin Calen DSILVA ELAPSED TIME,NIESCIER Karol POSITION,NIESCIER Karol LAP TIME,NIESCIER Karol ELAPSED TIME,TRAN Aaron POSITION,TRAN Aaron LAP TIME,TRAN Aaron ELAPSED TIME,Liam O'BRIEN POSITION,Liam O'BRIEN LAP TIME,Liam O'BRIEN ELAPSED TIME,AYRAPETYAN Denis POSITION,AYRAPETYAN Denis LAP TIME,AYRAPETYAN Denis ELAPSED TIME
5,13.40,13.40,2,12.99,12.99,3,13.14,13.14,4,13.26,13.26,1,12.97,12.97
5,10.09,23.49,3,10.30,23.29,2,10.05,23.19,4,10.07,23.33,1,10.16,23.13
4,10.13,33.62,5,10.48,33.77,2,10.08,33.27,3,10.18,33.51,1,10.07,33.20
5,9.85,43.47,4,9.50,43.27,2,9.78,43.05,3,9.68,43.19,1,9.74,42.94
5,9.68,53.15,4,9.65,52.92,2,9.61,52.66,3,9.60,52.79,1,9.64,52.58
5,9.96,1:03.11,4,9.50,1:02.42,2,9.44,1:02.10,3,9.43,1:02.22,1,9.44,1:02.02
5,10.38,1:13.49,4,9.29,1:11.71,2,9.16,1:11.26,3,9.31,1:11.53,1,9.15,1:11.17
5,10.77,1:24.26,4,9.52,1:21.23,2,9.02,1:20.28,3,9.38,1:20.91,1,9.09,1:20.26
5,11.08,1:35.34,4,10.29,1:31.52,1,8.88,1:29.16,3,9.65,1:30.56,2,9.00,1:29.26
