Oliwia GAWLICA POSITION,Oliwia GAWLICA LAP TIME,Oliwia GAWLICA ELAPSED TIME,Gioya LANCEE POSITION,Gioya LANCEE LAP TIME,Gioya LANCEE ELAPSED TIME,Lucia PERETTI POSITION,Lucia PERETTI LAP TIME,Lucia PERETTI ELAPSED TIME,WALTER Bianca POSITION,WALTER Bianca LAP TIME,WALTER Bianca ELAPSED TIME,MONVOISIN Aurelie POSITION,MONVOISIN Aurelie LAP TIME,MONVOISIN Aurelie ELAPSED TIME,Michaela KUNCIROVA POSITION,Michaela KUNCIROVA LAP TIME,Michaela KUNCIROVA ELAPSED TIME
1,11.58,11.58,5,12.06,12.06,3,11.89,,2,11.74,11.74,4,11.97,11.97,6,12.11,12.11
2,18.82,30.40,4,18.64,30.70,3,18.70,,1,18.52,30.26,5,18.98,30.95,6,19.04,31.15
2,15.19,45.59,4,15.21,45.91,3,15.20,,1,15.20,45.46,5,15.12,46.07,6,15.10,46.25
2,14.45,1:00.04,4,14.42,1:00.33,3,14.42,,1,14.48,59.94,5,14.41,1:00.48,6,14.39,1:00.64
4,12.87,1:12.91,2,12.53,1:12.86,1,12.59,,3,12.94,1:12.88,5,12.70,1:13.18,6,12.67,1:13.31
4,11.43,1:24.34,2,11.38,1:24.24,1,11.42,,3,11.44,1:24.32,5,11.47,1:24.65,6,11.46,1:24.77
4,10.82,1:35.16,3,10.85,1:35.09,1,10.67,,2,10.68,1:35.00,5,10.63,1:35.28,6,10.60,1:35.37
4,10.49,1:45.65,2,10.43,1:45.52,1,10.53,,3,10.54,1:45.54,5,10.53,1:45.81,6,10.57,1:45.94
4,9.67,1:55.32,2,9.67,1:55.19,1,9.74,,3,9.70,1:55.24,5,9.53,1:55.34,6,9.54,1:55.48
4,9.91,2:05.23,6,10.20,2:05.39,1,9.70,,3,9.76,2:05.00,2,9.59,2:04.93,5,9.80,2:05.28
4,9.71,2:14.94,6,9.90,2:15.29,1,9.65,,3,9.71,2:14.71,2,9.69,2:14.62,5,9.87,2:15.15
4,9.65,2:24.59,6,9.73,2:25.02,1,9.74,,3,9.79,2:24.50,2,9.81,2:24.43,5,9.71,2:24.86
3,10.00,2:34.59,6,9.96,2:34.98,1,10.02,,2,10.06,2:34.56,4,10.22,2:34.65,5,9.97,2:34.83
3,10.19,2:44.78,6,10.44,2:45.42,1,10.34,,2,10.12,2:44.68,3,10.62,2:45.257,4,10.56,2:45.372
