Alexander ZHELEZNOV POSITION,Alexander ZHELEZNOV LAP TIME,Alexander ZHELEZNOV ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,Aslan DAUMOV POSITION,Aslan DAUMOV LAP TIME,Aslan DAUMOV ELAPSED TIME,Jorrit OOSTEN POSITION,Jorrit OOSTEN LAP TIME,Jorrit OOSTEN ELAPSED TIME,Francois HAMELIN POSITION,Francois HAMELIN LAP TIME,Francois HAMELIN ELAPSED TIME
4,9.524,9.524,5,9.539,9.539,3,9.344,9.344,1,8.751,8.751,2,9.222,9.222
3,12.732,22.256,4,12.762,22.301,5,13.127,22.470,1,13.089,21.839,2,13.018,22.240
4,13.145,35.400,3,12.845,35.145,5,12.977,35.446,1,13.150,34.989,2,12.814,35.053
3,12.588,47.988,4,12.916,48.060,5,12.819,48.265,1,12.505,47.494,2,12.707,47.760
4,12.769,1:00.756,3,12.646,1:00.706,5,12.663,1:00.927,1,12.904,1:00.397,2,12.676,1:00.435
4,13.023,1:13.778,3,13.038,1:13.744,5,13.021,1:13.947,1,13.130,1:13.527,2,13.141,1:13.576
4,12.647,1:26.425,3,12.628,1:26.372,5,12.584,1:26.531,1,12.723,1:26.249,2,12.713,1:26.288
4,11.738,1:38.163,3,11.697,1:38.068,5,12.045,1:38.575,2,11.605,1:37.853,1,11.543,1:37.831
4,10.259,1:48.422,2,9.446,1:47.513,5,10.462,1:49.037,1,9.652,1:47.505,3,9.693,1:47.523
4,10.255,1:58.676,3,10.205,1:57.718,5,10.915,1:59.951,2,10.171,1:57.675,1,10.088,1:57.610
4,11.326,2:10.002,2,10.290,2:08.007,5,11.513,2:11.464,3,10.336,2:08.011,1,10.146,2:07.756
4,11.952,2:21.953,3,10.027,2:18.034,5,11.801,2:23.264,2,9.912,2:17.923,1,10.094,2:17.849
4,12.529,2:34.481,3,10.493,2:28.526,5,13.579,2:36.842,2,10.476,2:28.398,1,10.428,2:28.276
4,13.33,2:47.802,1,10.45,2:38.975,5,12.98,2:49.820,3,12.24,2:40.629,2,10.77,2:39.038
