KANCHARIN Natthapat POSITION,KANCHARIN Natthapat LAP TIME,KANCHARIN Natthapat ELAPSED TIME,JUNG Hok Young POSITION,JUNG Hok Young LAP TIME,JUNG Hok Young ELAPSED TIME,Denys IOFIN POSITION,Denys IOFIN LAP TIME,Denys IOFIN ELAPSED TIME,Daniil KRASNOKUTSKII POSITION,Daniil KRASNOKUTSKII LAP TIME,Daniil KRASNOKUTSKII ELAPSED TIME,ROSS-WADDELL Kyle POSITION,ROSS-WADDELL Kyle LAP TIME,ROSS-WADDELL Kyle ELAPSED TIME
4,10.31,10.31,2,9.90,9.90,3,10.12,10.12,1,9.71,9.71,5,10.45,10.45
4,11.81,22.12,2,11.90,21.80,3,11.78,21.90,1,11.98,21.69,5,11.69,22.14
5,11.73,33.85,2,11.60,33.40,3,11.64,33.54,1,11.49,33.18,4,11.50,33.64
5,11.31,45.16,2,11.31,44.71,3,11.28,44.82,1,11.31,44.49,4,11.30,44.94
5,11.12,56.28,2,11.16,55.87,3,11.17,55.99,1,11.18,55.67,4,11.16,56.10
5,10.74,1:07.02,2,10.76,1:06.63,3,10.77,1:06.76,1,10.76,1:06.43,4,10.78,1:06.88
5,10.52,1:17.54,2,10.42,1:17.05,3,10.46,1:17.22,1,10.61,1:17.04,4,10.47,1:17.35
5,9.73,1:27.27,1,9.69,1:26.74,3,9.81,1:27.03,2,9.81,1:26.85,4,9.79,1:27.14
5,9.40,1:36.67,1,9.36,1:36.10,3,9.41,1:36.44,2,9.37,1:36.22,4,9.41,1:36.55
5,9.60,1:46.27,1,9.02,1:45.12,3,9.62,1:46.06,2,9.05,1:45.27,4,9.60,1:46.15
4,9.85,1:56.12,1,8.89,1:54.01,4,10.06,1:56.12,2,8.90,1:54.17,3,9.70,1:55.85
3,9.70,2:05.82,1,8.88,2:02.89,5,10.49,2:06.61,2,9.05,2:03.22,4,9.98,2:05.83
3,9.97,2:15.79,1,8.98,2:11.87,5,10.92,2:17.53,2,9.47,2:12.69,4,10.43,2:16.26
3,10.23,2:26.02,1,9.45,2:21.32,5,11.50,2:29.03,2,10.04,2:22.73,4,10.82,2:27.08
