Ievgen GUTENOV POSITION,Ievgen GUTENOV LAP TIME,Ievgen GUTENOV ELAPSED TIME,Guillaume BASTILLE POSITION,Guillaume BASTILLE LAP TIME,Guillaume BASTILLE ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Asen YORDANOV POSITION,Asen YORDANOV LAP TIME,Asen YORDANOV ELAPSED TIME
2,12.66,12.66,1,12.57,12.57,3,12.71,12.71,4,12.85,12.85
2,10.14,22.80,1,10.16,22.73,3,10.15,22.86,4,10.13,22.98
2,10.05,32.85,1,10.05,32.78,3,10.08,32.94,4,10.13,33.11
2,9.38,42.23,1,9.36,42.14,3,9.38,42.32,4,9.37,42.48
2,9.26,51.49,1,9.25,51.39,3,9.22,51.54,4,9.36,51.84
2,9.17,1:00.66,1,9.16,1:00.55,3,9.21,1:00.75,4,9.63,1:01.47
2,9.25,1:09.91,1,9.25,1:09.80,3,9.24,1:09.99,4,9.90,1:11.37
3,9.68,1:19.59,1,9.56,1:19.36,2,9.47,1:19.46,4,10.41,1:21.78
3,9.32,1:28.903,2,9.41,1:28.762,1,9.30,1:28.759,4,10.68,1:32.453
