Daisuke UEMURA POSITION,Daisuke UEMURA LAP TIME,Daisuke UEMURA ELAPSED TIME,Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,Edin BRANKOVIC POSITION,Edin BRANKOVIC LAP TIME,Edin BRANKOVIC ELAPSED TIME,Maksim SIARHEYU POSITION,Maksim SIARHEYU LAP TIME,Maksim SIARHEYU ELAPSED TIME,Alex VARNYU POSITION,Alex VARNYU LAP TIME,Alex VARNYU ELAPSED TIME,Inan EREN POSITION,Inan EREN LAP TIME,Inan EREN ELAPSED TIME
1,9.20,9.20,5,9.58,9.58,4,9.46,9.46,3,9.36,9.36,2,9.22,9.22,6,9.73,9.73
2,14.08,23.28,5,14.00,23.58,3,13.84,23.30,4,14.05,23.41,1,13.89,23.11,6,14.00,23.73
3,12.18,35.46,5,12.11,35.69,1,11.93,35.23,4,12.15,35.56,2,12.21,35.32,6,12.11,35.84
2,11.58,47.04,5,11.66,47.35,3,11.92,47.15,4,11.70,47.26,1,11.60,46.92,6,11.61,47.45
2,12.39,59.43,5,12.38,59.73,3,12.42,59.57,4,12.42,59.68,1,12.38,59.30,6,12.37,59.82
1,11.71,1:11.14,3,11.51,1:11.24,4,11.82,1:11.39,5,11.92,1:11.60,2,11.86,1:11.16,6,11.94,1:11.76
1,10.21,1:21.35,4,10.27,1:21.51,3,10.10,1:21.49,5,10.06,1:21.66,2,10.29,1:21.45,6,10.09,1:21.85
1,9.64,1:30.99,4,9.86,1:31.37,2,9.62,1:31.11,5,9.84,1:31.50,3,9.83,1:31.28,6,9.78,1:31.63
1,9.64,1:40.63,4,9.59,1:40.96,2,9.63,1:40.74,5,9.59,1:41.09,3,9.62,1:40.90,6,9.60,1:41.23
1,9.46,1:50.09,3,9.43,1:50.39,2,9.48,1:50.22,4,9.55,1:50.64,5,9.74,1:50.64,6,9.69,1:50.92
1,9.34,1:59.43,3,9.29,1:59.68,2,9.35,1:59.57,4,9.43,2:00.07,5,9.95,2:00.59,6,9.85,2:00.77
1,9.24,2:08.67,3,9.27,2:08.95,2,9.31,2:08.88,4,9.56,2:09.63,6,10.51,2:11.10,5,10.20,2:10.97
1,9.31,2:17.98,3,9.56,2:18.51,2,9.55,2:18.43,4,9.80,2:19.43,6,10.52,2:21.62,5,10.51,2:21.48
1,9.71,2:27.684,2,9.76,2:28.262,3,9.87,2:28.295,4,10.18,2:29.610,6,10.70,2:32.312,5,10.42,2:31.896
