HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,HAN Seung Soo POSITION,HAN Seung Soo LAP TIME,HAN Seung Soo ELAPSED TIME,KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME,Samuel GIRARD POSITION,Samuel GIRARD LAP TIME,Samuel GIRARD ELAPSED TIME
1,13.15,13.15,2,13.33,13.33,3,13.44,13.44,4,13.58,13.58
1,10.09,23.24,2,10.06,23.39,3,10.02,23.46,4,9.97,23.55
1,9.75,32.99,3,9.69,33.08,4,9.73,33.19,2,9.51,33.06
1,9.08,42.07,2,9.12,42.20,4,9.10,42.29,3,9.14,42.20
1,9.02,51.09,2,9.00,51.20,4,9.17,51.46,3,9.10,51.30
1,8.97,1:00.06,2,8.98,1:00.18,4,8.88,1:00.34,3,8.96,1:00.26
1,8.92,1:08.98,2,8.88,1:09.06,3,8.81,1:09.15,4,8.92,1:09.18
1,8.83,1:17.81,3,8.85,1:17.91,2,8.69,1:17.84,4,8.89,1:18.07
2,9.16,1:26.963,3,9.26,1:27.161,1,9.01,1:26.849,4,9.16,1:27.226
