Evgenii KOZULIN POSITION,Evgenii KOZULIN LAP TIME,Evgenii KOZULIN ELAPSED TIME,Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,LIU Xianwei POSITION,LIU Xianwei LAP TIME,LIU Xianwei ELAPSED TIME
1,13.49,13.49,2,13.63,13.63,4,13.84,13.84,3,13.69,13.69
3,10.34,23.83,2,10.08,23.71,4,10.13,23.97,1,9.97,23.66
3,9.86,33.69,2,9.88,33.59,4,9.79,33.76,1,9.80,33.46
3,9.69,43.38,1,9.58,43.17,4,9.77,43.53,2,9.80,43.26
3,9.66,53.04,1,9.65,52.82,4,9.71,53.24,2,9.66,52.92
3,9.15,1:02.19,1,9.16,1:01.98,4,9.12,1:02.36,2,9.17,1:02.09
3,9.18,1:11.37,1,9.16,1:11.14,4,9.15,1:11.51,2,9.17,1:11.26
3,9.09,1:20.46,1,9.04,1:20.18,4,9.12,1:20.63,2,9.06,1:20.32
3,9.13,1:29.584,1,9.19,1:29.368,4,9.42,1:30.042,2,9.16,1:29.473
