Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,BLACKBURN Mackenzie POSITION,BLACKBURN Mackenzie LAP TIME,BLACKBURN Mackenzie ELAPSED TIME,Valentyn DANILOVSKYI POSITION,Valentyn DANILOVSKYI LAP TIME,Valentyn DANILOVSKYI ELAPSED TIME,Aydar BEKZHANOV POSITION,Aydar BEKZHANOV LAP TIME,Aydar BEKZHANOV ELAPSED TIME
3,6.93,6.93,1,6.69,6.69,2,6.80,6.80,4,7.03,7.03,5,7.20,7.20
3,8.79,15.72,1,8.66,15.35,2,8.81,15.61,5,9.11,16.14,4,8.74,15.94
3,8.35,24.07,1,8.25,23.60,2,8.43,24.04,5,8.66,24.80,4,8.36,24.30
3,8.52,32.59,1,8.33,31.93,2,8.54,32.58,5,8.87,33.67,4,8.46,32.76
0,,PEN,1,8.58,40.502,2,9.14,41.714,4,9.19,42.857,3,9.02,41.780
