Billy SIMMS POSITION,Billy SIMMS LAP TIME,Billy SIMMS ELAPSED TIME,de LAAT Itzhak POSITION,de LAAT Itzhak LAP TIME,de LAAT Itzhak ELAPSED TIME,AZHGALIYEV Abzal POSITION,AZHGALIYEV Abzal LAP TIME,AZHGALIYEV Abzal ELAPSED TIME,Jason CLAGUE POSITION,Jason CLAGUE LAP TIME,Jason CLAGUE ELAPSED TIME,Aliaksandr VOLKAU POSITION,Aliaksandr VOLKAU LAP TIME,Aliaksandr VOLKAU ELAPSED TIME
1,14.87,14.87,3,14.90,14.90,2,14.88,14.88,4,15.02,15.02,5,15.03,15.03
3,10.91,25.78,4,11.02,25.92,2,10.79,25.67,5,11.04,26.06,1,10.55,25.58
3,9.95,35.73,4,9.95,35.87,2,9.97,35.64,5,9.90,35.96,1,9.94,35.52
2,10.02,45.75,4,10.09,45.96,3,10.17,45.81,5,10.07,46.03,1,10.14,45.66
2,9.59,55.34,4,9.59,55.55,3,9.62,55.43,5,9.67,55.70,1,9.58,55.24
2,9.26,1:04.60,4,9.21,1:04.76,3,9.28,1:04.71,5,9.19,1:04.89,1,9.29,1:04.53
1,9.38,1:13.98,2,9.30,1:14.06,4,9.40,1:14.11,5,9.36,1:14.25,3,9.56,1:14.09
2,9.48,1:23.46,1,9.17,1:23.23,3,9.37,1:23.48,4,9.41,1:23.66,5,9.75,1:23.84
3,9.52,1:32.959,1,9.33,1:32.56,2,9.37,1:32.85,4,9.52,1:33.155,5,10.09,1:33.911
