CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Kyle CARR POSITION,Kyle CARR LAP TIME,Kyle CARR ELAPSED TIME,Miodrag POPOVIC POSITION,Miodrag POPOVIC LAP TIME,Miodrag POPOVIC ELAPSED TIME,Jumpei YOSHIZAWA POSITION,Jumpei YOSHIZAWA LAP TIME,Jumpei YOSHIZAWA ELAPSED TIME,Ivan DOLINIC POSITION,Ivan DOLINIC LAP TIME,Ivan DOLINIC ELAPSED TIME,Dmytro POLTAVETS POSITION,Dmytro POLTAVETS LAP TIME,Dmytro POLTAVETS ELAPSED TIME,Tamas TUTRAI POSITION,Tamas TUTRAI LAP TIME,Tamas TUTRAI ELAPSED TIME
0,18.270,18.270,0,17.885,17.885,0,17.595,17.595,0,18.638,18.638,0,17.554,17.554,0,18.096,18.096,0,18.830,18.830
0,13.101,31.370,0,13.234,31.119,0,13.344,30.940,0,12.978,31.615,0,13.183,30.737,0,13.206,31.302,0,13.060,31.890
0,12.747,44.117,0,12.760,43.879,0,12.739,43.679,0,12.795,44.410,0,12.894,43.631,0,12.793,44.094,0,12.698,44.589
0,13.399,57.516,0,13.555,57.434,0,13.301,56.980,0,12.951,57.361,0,13.285,56.916,0,13.203,57.297,0,13.162,57.750
0,13.365,1:10.881,0,13.032,1:10.466,0,13.459,1:10.439,0,13.664,1:11.025,0,13.509,1:10.424,0,13.472,1:10.770,0,13.420,1:11.170
0,14.143,1:25.024,0,14.195,1:24.661,0,14.023,1:24.462,0,14.955,1:25.980,0,13.942,1:24.367,0,14.008,1:24.778,0,14.286,1:25.456
0,13.930,1:38.954,0,14.121,1:38.781,0,14.070,1:38.531,0,13.271,1:39.252,0,14.045,1:38.411,0,14.066,1:38.843,0,13.699,1:39.154
0,13.921,1:52.875,0,13.704,1:52.485,0,13.684,1:52.215,0,13.322,1:52.574,0,13.737,1:52.148,0,13.782,1:52.625,0,13.895,1:53.050
0,13.530,2:06.405,0,13.648,2:06.132,0,13.674,2:05.889,0,13.523,2:06.097,0,13.792,2:05.940,0,13.761,2:06.386,0,13.699,2:06.749
0,13.953,2:20.358,0,13.889,2:20.022,0,13.999,2:19.888,0,14.201,2:20.298,0,13.931,2:19.870,0,13.838,2:20.223,0,13.555,2:20.303
0,14.177,2:34.534,0,14.292,2:34.313,0,14.126,2:34.013,0,14.090,2:34.388,0,14.279,2:34.149,0,14.321,2:34.545,0,14.460,2:34.763
0,14.501,2:49.035,0,14.498,2:48.812,0,14.582,2:48.595,0,14.302,2:48.690,0,14.571,2:48.720,0,14.526,2:49.071,0,14.692,2:49.456
0,14.015,3:03.050,0,14.154,3:02.966,0,14.253,3:02.848,0,14.989,3:03.679,0,14.204,3:02.924,0,14.134,3:03.205,0,14.302,3:03.757
0,13.939,3:16.989,0,13.441,3:16.407,0,13.716,3:16.564,0,13.008,3:16.687,0,13.802,3:16.726,0,13.646,3:16.851,0,13.623,3:17.380
0,11.074,3:28.063,0,10.389,3:26.796,0,11.938,3:28.502,0,11.459,3:28.146,0,12.614,3:29.340,0,10.970,3:27.820,0,10.879,3:28.259
0,10.995,3:39.058,0,11.165,3:37.961,0,10.912,3:39.414,0,10.685,3:38.831,0,11.042,3:40.382,0,11.083,3:38.903,0,10.855,3:39.114
0,10.949,3:50.006,0,11.728,3:49.689,0,11.181,3:50.595,0,11.193,3:50.024,0,10.673,3:51.055,0,11.214,3:50.117,0,11.342,3:50.457
0,12.165,4:02.171,0,12.217,4:01.906,0,11.596,4:02.190,0,12.129,4:02.153,0,11.701,4:02.756,0,12.176,4:02.294,0,11.538,4:01.994
0,11.205,4:13.377,0,11.394,4:13.300,0,11.842,4:14.033,0,11.095,4:13.248,0,11.934,4:14.691,0,11.207,4:13.500,0,11.230,4:13.225
0,10.706,4:24.083,0,11.122,4:24.422,0,11.510,4:25.542,0,11.115,4:24.362,0,11.537,4:26.227,0,11.185,4:24.685,0,11.042,4:24.267
0,10.651,4:34.734,0,10.576,4:34.998,0,11.571,4:37.113,0,10.444,4:34.806,0,11.365,4:37.592,0,10.437,4:35.122,0,10.582,4:34.849
0,10.855,4:45.589,0,10.948,4:45.946,0,11.742,4:48.855,0,10.822,4:45.629,0,11.704,4:49.296,0,11.034,4:46.156,0,10.570,4:45.418
0,10.815,4:56.403,0,10.549,4:56.496,0,11.918,5:00.772,0,10.677,4:56.306,0,11.911,5:01.207,0,10.992,4:57.148,0,10.930,4:56.348
0,10.348,5:06.751,0,10.382,5:06.877,0,11.767,5:12.540,0,10.314,5:06.620,0,12.520,5:13.727,0,9.896,5:07.043,0,10.609,5:06.957
0,9.672,5:16.423,0,9.832,5:16.710,0,11.848,5:24.387,0,9.805,5:16.425,0,14.413,5:28.139,0,9.971,5:17.014,0,10.907,5:17.864
0,9.482,5:25.905,0,9.370,5:26.080,0,11.966,5:36.353,0,18.608,5:35.033,0,14.625,5:42.764,0,10.327,5:27.342,0,11.465,5:29.329
0,,,0,,,0,,,0,,,0,,,0,,,0,,
