Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME,SIN da Woon POSITION,SIN da Woon LAP TIME,SIN da Woon ELAPSED TIME,NAVARRO Tristan POSITION,NAVARRO Tristan LAP TIME,NAVARRO Tristan ELAPSED TIME,Hiroki YOKOYAMA POSITION,Hiroki YOKOYAMA LAP TIME,Hiroki YOKOYAMA ELAPSED TIME,Koen HAKKENBERG POSITION,Koen HAKKENBERG LAP TIME,Koen HAKKENBERG ELAPSED TIME
2,9.77,9.77,4,9.91,9.91,5,10.11,10.11,1,9.74,9.74,3,9.87,9.87
1,14.09,23.86,4,14.26,24.17,2,13.87,23.98,3,14.27,24.01,5,14.44,24.31
2,11.86,35.72,5,11.80,35.97,1,11.64,35.62,3,11.80,35.81,4,11.59,35.90
2,11.89,47.61,4,11.82,47.79,1,11.88,47.50,3,11.95,47.76,5,11.97,47.87
1,10.59,58.20,2,10.48,58.27,5,10.98,58.48,3,10.59,58.35,4,10.57,58.44
1,10.54,1:08.74,2,10.57,1:08.84,5,10.61,1:09.09,4,10.58,1:08.93,3,10.48,1:08.92
2,10.29,1:19.03,1,10.19,1:19.03,5,10.20,1:19.29,4,10.25,1:19.18,3,10.24,1:19.16
2,9.66,1:28.69,1,9.66,1:28.69,5,9.72,1:29.01,3,9.67,1:28.85,4,9.69,1:28.85
2,9.20,1:37.89,1,9.05,1:37.74,5,9.21,1:38.22,3,9.11,1:37.96,4,9.20,1:38.05
2,8.99,1:46.88,1,9.00,1:46.74,5,8.94,1:47.16,3,9.03,1:46.99,4,9.03,1:47.08
2,8.84,1:55.72,1,8.86,1:55.60,5,8.95,1:56.11,3,8.83,1:55.82,4,8.91,1:55.99
2,8.88,2:04.60,1,8.87,2:04.47,4,8.97,2:05.08,3,8.86,2:04.68,5,9.22,2:05.21
2,9.08,2:13.68,1,8.86,2:13.33,4,9.35,2:14.43,3,9.05,2:13.73,5,9.37,2:14.58
2,9.50,2:23.173,1,9.34,2:22.663,4,9.79,2:24.215,3,9.50,2:23.226,5,9.70,2:24.273
