RUSSIA POSITION,RUSSIA LAP TIME,RUSSIA ELAPSED TIME,POLAND POSITION,POLAND LAP TIME,POLAND ELAPSED TIME,GERMANY POSITION,GERMANY LAP TIME,GERMANY ELAPSED TIME
3,12.90,12.90,2,12.76,12.76,1,12.61,12.61
3,9.48,22.38,2,9.41,22.17,1,9.33,21.94
3,8.96,31.34,2,8.99,31.16,1,9.13,31.07
3,9.09,40.43,2,9.08,40.24,1,9.09,40.16
3,9.19,49.62,2,9.19,49.43,1,9.16,49.32
3,8.99,58.61,2,9.02,58.45,1,9.01,58.33
3,9.29,1:07.90,2,9.32,1:07.77,1,9.33,1:07.66
3,9.42,1:17.32,2,9.41,1:17.18,1,9.32,1:16.98
3,8.94,1:26.26,2,8.82,1:26.00,1,8.92,1:25.90
3,8.89,1:35.15,2,9.02,1:35.02,1,9.02,1:34.92
3,9.13,1:44.28,2,9.08,1:44.10,1,8.99,1:43.91
3,8.98,1:53.26,2,8.99,1:53.09,1,9.10,1:53.01
3,9.29,2:02.55,2,9.35,2:02.44,1,9.12,2:02.13
3,9.41,2:11.96,2,9.35,2:11.79,1,9.50,2:11.63
3,8.97,2:20.93,2,8.96,2:20.75,1,9.02,2:20.65
3,9.03,2:29.96,2,9.07,2:29.82,1,9.02,2:29.67
3,9.11,2:39.07,2,9.09,2:38.91,1,9.02,2:38.69
3,8.92,2:47.99,2,8.94,2:47.85,1,9.04,2:47.73
3,9.13,2:57.12,2,9.15,2:57.00,1,9.16,2:56.89
3,9.23,3:06.35,2,9.19,3:06.19,1,9.05,3:05.94
3,8.90,3:15.25,2,8.84,3:15.03,1,8.93,3:14.87
3,8.92,3:24.17,2,8.91,3:23.94,1,8.94,3:23.81
3,8.98,3:33.15,2,8.98,3:32.92,1,8.98,3:32.79
3,8.89,3:42.04,2,8.95,3:41.87,1,9.03,3:41.82
3,9.24,3:51.28,2,9.21,3:51.08,1,9.18,3:51.00
2,8.98,4:00.26,3,9.26,4:00.34,1,9.12,4:00.12
2,9.07,4:09.33,3,9.05,4:09.39,1,9.01,4:09.13
2,8.97,4:18.30,3,8.96,4:18.35,1,9.08,4:18.21
2,9.20,4:27.50,3,9.34,4:27.69,1,9.15,4:27.36
2,9.10,4:36.60,3,9.02,4:36.71,1,9.16,4:36.52
1,8.71,4:45.31,3,9.09,4:45.80,2,9.21,4:45.73
1,9.50,4:54.81,3,9.23,4:55.03,2,9.18,4:54.91
3,9.54,5:04.35,2,9.28,5:04.31,1,9.34,5:04.25
1,8.89,5:13.24,3,9.18,5:13.49,2,9.15,5:13.40
1,9.05,5:22.29,3,9.12,5:22.61,2,9.09,5:22.49
1,8.85,5:31.14,3,9.02,5:31.63,2,9.02,5:31.51
1,8.45,5:39.59,3,9.00,5:40.63,2,9.06,5:40.57
1,9.71,5:49.30,3,9.18,5:49.81,2,9.05,5:49.62
1,9.06,5:58.36,3,8.83,5:58.64,2,8.86,5:58.48
1,9.17,6:07.53,3,9.22,6:07.86,2,9.14,6:07.62
1,9.13,6:16.66,3,9.20,6:17.06,2,9.27,6:16.89
1,9.06,6:25.72,2,9.09,6:26.15,3,9.26,6:26.15
1,9.20,6:34.92,2,9.17,6:35.32,3,9.28,6:35.43
1,9.06,6:43.98,3,9.04,6:44.36,2,8.88,6:44.31
1,9.04,6:53.012,3,8.97,6:53.329,2,8.84,6:53.149
