PROSVIRNOVA Sofia POSITION,PROSVIRNOVA Sofia LAP TIME,PROSVIRNOVA Sofia ELAPSED TIME,DESMET Hanne POSITION,DESMET Hanne LAP TIME,DESMET Hanne ELAPSED TIME,Ranya EZZI POSITION,Ranya EZZI LAP TIME,Ranya EZZI ELAPSED TIME,Andrea KESZLER POSITION,Andrea KESZLER LAP TIME,Andrea KESZLER ELAPSED TIME,Kasandra BRADETTE POSITION,Kasandra BRADETTE LAP TIME,Kasandra BRADETTE ELAPSED TIME
2,13.63,13.63,1,13.55,13.55,5,13.86,13.86,3,13.70,13.70,4,13.78,13.78
1,10.99,24.62,2,11.20,24.75,5,11.16,25.02,2,11.05,24.75,4,11.12,24.90
2,10.52,35.14,4,10.59,35.34,5,10.39,35.41,1,10.34,35.09,3,10.28,35.18
3,10.03,45.17,4,9.94,45.28,5,10.02,45.43,1,9.89,44.98,2,9.89,45.07
3,10.09,55.26,4,10.11,55.39,5,10.07,55.50,1,10.11,55.09,2,10.08,55.15
3,9.97,1:05.23,4,9.96,1:05.35,5,10.02,1:05.52,1,9.96,1:05.05,2,9.95,1:05.10
2,9.69,1:14.92,4,9.78,1:15.13,5,9.71,1:15.23,3,9.93,1:14.98,1,9.74,1:14.84
2,9.67,1:24.59,4,9.80,1:24.93,5,9.85,1:25.08,3,9.88,1:24.86,1,9.68,1:24.52
0,,PHOTO,4,,1:34.918,5,10.05,1:35.110,3,,1:34.911,0,,PHOTO
