START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,season,competition,event,gender,round,race
1,12.95,12.95,2,13.07,13.07,2019-2020,ISU World Cup 2019/20 - Dresden (GER),2000mRelay,x,FinalB,1
1,9.94,22.89,2,9.91,22.98,2019-2020,ISU World Cup 2019/20 - Dresden (GER),2000mRelay,x,FinalB,1
1,9.53,32.42,2,9.58,32.56,2019-2020,ISU World Cup 2019/20 - Dresden (GER),2000mRelay,x,FinalB,1
1,9.69,42.11,2,9.66,42.22,2019-2020,ISU World Cup 2019/20 - Dresden (GER),2000mRelay,x,FinalB,1
1,9.79,51.90,2,9.76,51.98,2019-2020,ISU World Cup 2019/20 - Dresden (GER),2000mRelay,x,FinalB,1
1,9.54,1:01.44,2,9.57,1:01.55,2019-2020,ISU World Cup 2019/20 - Dresden (GER),2000mRelay,x,FinalB,1
1,9.61,1:11.05,2,9.64,1:11.19,2019-2020,ISU World Cup 2019/20 - Dresden (GER),2000mRelay,x,FinalB,1
1,9.22,1:20.27,2,9.13,1:20.32,2019-2020,ISU World Cup 2019/20 - Dresden (GER),2000mRelay,x,FinalB,1
1,9.77,1:30.04,2,9.81,1:30.13,2019-2020,ISU World Cup 2019/20 - Dresden (GER),2000mRelay,x,FinalB,1
1,9.65,1:39.69,2,9.72,1:39.85,2019-2020,ISU World Cup 2019/20 - Dresden (GER),2000mRelay,x,FinalB,1
1,9.12,1:48.81,2,9.08,1:48.93,2019-2020,ISU World Cup 2019/20 - Dresden (GER),2000mRelay,x,FinalB,1
1,9.10,1:57.91,2,9.01,1:57.94,2019-2020,ISU World Cup 2019/20 - Dresden (GER),2000mRelay,x,FinalB,1
1,8.88,2:06.79,2,9.23,2:07.17,2019-2020,ISU World Cup 2019/20 - Dresden (GER),2000mRelay,x,FinalB,1
1,8.81,2:15.60,2,8.91,2:16.08,2019-2020,ISU World Cup 2019/20 - Dresden (GER),2000mRelay,x,FinalB,1
1,8.51,2:24.11,2,8.64,2:24.72,2019-2020,ISU World Cup 2019/20 - Dresden (GER),2000mRelay,x,FinalB,1
1,8.34,2:32.45,2,8.50,2:33.22,2019-2020,ISU World Cup 2019/20 - Dresden (GER),2000mRelay,x,FinalB,1
1,8.36,2:40.81,2,8.43,2:41.65,2019-2020,ISU World Cup 2019/20 - Dresden (GER),2000mRelay,x,FinalB,1
1,8.36,2:49.177,2,8.45,2:50.102,2019-2020,ISU World Cup 2019/20 - Dresden (GER),2000mRelay,x,FinalB,1
