BYUN Chun-Sa POSITION,BYUN Chun-Sa LAP TIME,BYUN Chun-Sa ELAPSED TIME,Amelie GOULET-NADON POSITION,Amelie GOULET-NADON LAP TIME,Amelie GOULET-NADON ELAPSED TIME,FU Tian Yu POSITION,FU Tian Yu LAP TIME,FU Tian Yu ELAPSED TIME,Yuka KAMINO POSITION,Yuka KAMINO LAP TIME,Yuka KAMINO ELAPSED TIME,Joanna WILLIAMS POSITION,Joanna WILLIAMS LAP TIME,Joanna WILLIAMS ELAPSED TIME,Brigid FARRELL POSITION,Brigid FARRELL LAP TIME,Brigid FARRELL ELAPSED TIME
6,11.259,11.259,4,10.805,10.805,5,11.112,11.112,3,10.787,10.787,2,10.645,10.645,1,10.498,10.498
6,15.498,26.757,4,13.388,24.193,5,13.321,24.433,3,13.259,24.046,2,13.188,23.832,1,13.273,23.770
5,9.496,36.252,4,11.846,36.038,6,11.857,36.290,3,11.892,35.937,2,11.920,35.752,1,11.954,35.724
6,12.293,48.544,3,12.166,48.204,5,12.182,48.471,4,12.315,48.252,2,12.305,48.057,1,12.321,48.044
6,11.552,1:00.096,3,11.802,1:00.005,5,11.548,1:00.018,4,11.767,1:00.018,2,11.940,59.996,1,11.906,59.950
6,10.566,1:10.661,1,10.077,1:10.081,2,10.102,1:10.120,4,10.312,1:10.329,5,10.497,1:10.493,3,10.304,1:10.253
6,10.081,1:20.742,1,10.213,1:20.294,2,10.219,1:20.339,4,10.243,1:20.572,5,10.205,1:20.698,3,10.250,1:20.503
3,9.790,1:30.531,1,10.199,1:30.493,2,10.174,1:30.513,5,10.137,1:30.708,6,10.122,1:30.820,4,10.086,1:30.589
1,9.633,1:40.164,2,9.699,1:40.192,3,9.821,1:40.333,5,9.928,1:40.636,6,9.923,1:40.742,4,9.975,1:40.564
1,9.753,1:49.916,2,9.819,1:50.011,3,9.728,1:50.061,5,9.828,1:50.464,6,9.777,1:50.519,4,9.771,1:50.334
1,9.802,1:59.718,3,9.837,1:59.847,2,9.763,1:59.824,4,9.945,2:00.408,6,10.071,2:00.589,5,10.075,2:00.408
1,9.770,2:09.488,2,9.760,2:09.607,3,9.827,2:09.650,5,10.262,2:10.670,6,10.130,2:10.719,4,10.241,2:10.648
1,9.590,2:19.078,2,9.684,2:19.291,3,9.729,2:19.378,4,10.170,2:20.839,6,10.548,2:21.267,5,10.401,2:21.049
1,9.89,2:28.967,3,10.06,2:29.345,2,9.90,2:29.273,4,10.58,2:31.415,6,10.80,2:32.060,5,10.80,2:31.841
