Charlotte GILMARTIN POSITION,Charlotte GILMARTIN LAP TIME,Charlotte GILMARTIN ELAPSED TIME,MANOILOVA Katrin POSITION,MANOILOVA Katrin LAP TIME,MANOILOVA Katrin ELAPSED TIME,Yui SAKAI POSITION,Yui SAKAI LAP TIME,Yui SAKAI ELAPSED TIME,Anna SEIDEL POSITION,Anna SEIDEL LAP TIME,Anna SEIDEL ELAPSED TIME,BURIC Katarina POSITION,BURIC Katarina LAP TIME,BURIC Katarina ELAPSED TIME,QU Chunyu POSITION,QU Chunyu LAP TIME,QU Chunyu ELAPSED TIME
2,12.38,12.38,5,12.81,12.81,3,12.47,12.47,4,12.64,12.64,6,12.97,12.97,1,12.29,12.29
2,16.62,29.00,4,16.50,29.31,1,16.41,28.88,5,16.79,29.43,6,16.55,29.52,3,16.86,29.15
2,15.44,44.44,4,15.60,44.91,1,15.38,44.26,5,15.58,45.01,6,15.62,45.14,3,15.60,44.75
2,15.09,59.53,3,14.82,59.73,1,15.12,59.38,5,15.08,1:00.09,6,15.09,1:00.23,4,15.23,59.98
2,13.72,1:13.25,3,13.69,1:13.42,1,13.73,1:13.11,5,13.64,1:13.73,6,13.60,1:13.83,4,13.64,1:13.62
2,12.32,1:25.57,4,12.31,1:25.73,1,12.24,1:25.35,5,12.07,1:25.80,6,12.06,1:25.89,3,11.99,1:25.61
2,11.19,1:36.76,4,11.37,1:37.10,1,11.28,1:36.63,5,11.40,1:37.20,6,11.42,1:37.31,3,11.36,1:36.97
2,11.12,1:47.88,4,11.05,1:48.15,1,11.11,1:47.74,5,11.05,1:48.25,6,11.05,1:48.36,3,11.05,1:48.02
3,10.38,1:58.26,4,10.23,1:58.38,2,10.45,1:58.19,5,10.25,1:58.50,6,10.27,1:58.63,1,10.05,1:58.07
3,9.79,2:08.05,4,9.77,2:08.15,2,9.70,2:07.89,5,9.77,2:08.27,6,9.80,2:08.43,1,9.78,2:07.85
3,9.42,2:17.47,4,9.47,2:17.62,1,9.31,2:17.20,5,9.40,2:17.67,6,9.84,2:18.27,2,9.46,2:17.31
3,9.54,2:27.01,5,9.49,2:27.11,1,9.60,2:26.80,4,9.40,2:27.07,6,10.20,2:28.47,2,9.59,2:26.90
2,9.60,2:36.61,5,9.93,2:37.04,1,9.70,2:36.50,4,9.62,2:36.69,6,10.63,2:39.10,3,9.78,2:36.68
2,9.84,2:46.45,5,10.61,2:47.65,1,9.83,2:46.33,4,9.90,2:46.59,6,11.09,2:50.19,3,9.83,2:46.51
