Szandra LAJTOS POSITION,Szandra LAJTOS LAP TIME,Szandra LAJTOS ELAPSED TIME,BYUN Chun-Sa POSITION,BYUN Chun-Sa LAP TIME,BYUN Chun-Sa ELAPSED TIME,Aika KLEIN POSITION,Aika KLEIN LAP TIME,Aika KLEIN ELAPSED TIME,Marta CAPURSO POSITION,Marta CAPURSO LAP TIME,Marta CAPURSO ELAPSED TIME,Nina EVTEEVA POSITION,Nina EVTEEVA LAP TIME,Nina EVTEEVA ELAPSED TIME,Evita KRIEVANE POSITION,Evita KRIEVANE LAP TIME,Evita KRIEVANE ELAPSED TIME
2,8.9641,8.9641,6,9.4201,9.4201,4,9.1867,9.1867,3,9.0540,9.0540,5,9.2135,9.2135,1,8.6577,8.6577
2,14.7089,23.6730,6,15.0758,24.4959,4,14.5415,23.7282,3,14.6714,23.7254,5,14.6690,23.8825,1,14.7239,23.3816
1,14.1656,37.8386,6,14.3155,38.8114,5,14.5310,38.2592,2,14.2311,37.9565,4,14.3577,38.2402,3,14.6082,37.9898
4,12.8139,50.6525,6,12.4191,51.2305,2,12.0561,50.3153,3,12.5259,50.4824,5,12.5987,50.8389,1,12.0460,50.0358
4,11.3392,1:01.9917,5,10.9454,1:02.1759,2,11.4498,1:01.7651,3,11.2867,1:01.7691,6,11.3965,1:02.2354,1,10.9497,1:00.9855
5,11.2007,1:13.1924,6,11.4401,1:13.6160,3,11.3581,1:13.1232,4,11.3560,1:13.1251,2,10.7596,1:12.9950,1,11.2439,1:12.2294
4,11.7251,1:24.9175,6,11.7989,1:25.4149,5,11.8800,1:25.0032,2,11.5772,1:24.7023,3,11.8390,1:24.8340,1,12.3959,1:24.6253
5,11.0318,1:35.9493,6,10.8836,1:36.2985,2,10.7687,1:35.7719,3,11.0816,1:35.7839,4,11.0557,1:35.8897,1,10.6465,1:35.2718
5,10.2013,1:46.1506,6,10.3426,1:46.6411,4,10.2315,1:46.0034,3,10.1674,1:45.9513,2,10.0003,1:45.8900,1,10.2890,1:45.5608
5,10.2631,1:56.4137,6,10.1303,1:56.7714,2,10.2146,1:56.2180,3,10.3231,1:56.2744,4,10.4478,1:56.3378,1,10.5007,1:56.0615
5,10.0740,2:06.4877,6,10.2089,2:06.9803,2,10.1361,2:06.3541,4,10.1506,2:06.4250,1,9.9496,2:06.2874,3,10.3302,2:06.3917
5,10.0059,2:16.4936,6,9.5376,2:16.5179,1,9.9390,2:16.2931,3,9.9455,2:16.3705,2,10.0335,2:16.3209,4,10.0167,2:16.4084
5,10.4076,2:26.9012,1,9.7726,2:26.2905,2,10.0002,2:26.2933,4,9.9776,2:26.3481,3,10.0144,2:26.3353,6,10.8822,2:27.2906
4,10.83,2:37.728,1,10.07,2:36.362,6,18.20,2:44.489,3,10.90,2:37.248,2,10.20,2:36.527,5,12.30,2:39.592
