Felix SPIEGL POSITION,Felix SPIEGL LAP TIME,Felix SPIEGL ELAPSED TIME,Tjerk de BOER POSITION,Tjerk de BOER LAP TIME,Tjerk de BOER ELAPSED TIME,Jens ALMEY POSITION,Jens ALMEY LAP TIME,Jens ALMEY ELAPSED TIME,TRAN Aaron POSITION,TRAN Aaron LAP TIME,TRAN Aaron ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,Kuandyk SULEYMENOV POSITION,Kuandyk SULEYMENOV LAP TIME,Kuandyk SULEYMENOV ELAPSED TIME
3,9.70,9.70,2,9.55,9.55,1,9.51,9.51,6,10.16,10.16,4,9.89,9.89,5,10.08,10.08
3,13.42,23.12,2,13.47,23.02,1,13.37,22.88,6,13.40,23.56,4,13.39,23.28,5,13.36,23.44
2,13.05,36.17,3,13.24,36.26,1,13.27,36.15,6,13.14,36.70,5,13.19,36.47,4,13.00,36.44
1,11.76,47.93,3,11.87,48.13,2,11.88,48.03,6,11.81,48.51,5,11.91,48.38,4,11.81,48.25
2,11.54,59.47,4,11.48,59.61,1,11.35,59.38,5,11.25,59.76,6,11.39,59.77,3,11.29,59.54
1,10.09,1:09.56,4,10.14,1:09.75,3,10.27,1:09.65,2,9.80,1:09.56,6,10.34,1:10.11,5,10.35,1:09.89
2,9.50,1:19.06,4,9.52,1:19.27,3,9.53,1:19.18,1,9.39,1:18.95,6,9.35,1:19.46,5,9.40,1:19.29
2,9.69,1:28.75,5,9.60,1:28.87,4,9.69,1:28.87,1,9.71,1:28.66,6,9.60,1:29.06,3,9.50,1:28.79
2,9.64,1:38.39,6,23.51,1:52.38,3,10.06,1:38.93,1,9.55,1:38.21,4,9.89,1:38.95,5,10.62,1:39.41
2,9.65,1:48.04,6,16.85,2:09.23,4,9.65,1:48.58,1,9.70,1:47.91,3,9.33,1:48.28,5,10.34,1:49.75
1,9.95,1:57.99,6,13.93,2:23.16,4,9.82,1:58.40,2,10.14,1:58.05,3,9.83,1:58.11,5,10.12,1:59.87
2,10.28,2:08.27,6,12.35,2:35.51,4,10.06,2:08.46,3,10.40,2:08.45,1,9.82,2:07.93,5,10.15,2:10.02
3,10.56,2:18.83,6,11.95,2:47.46,2,9.92,2:18.38,4,10.60,2:19.05,1,10.02,2:17.95,5,10.34,2:20.36
3,10.76,2:29.586,0,,PEN,2,10.03,2:28.402,4,11.38,2:30.425,1,10.25,2:28.192,5,10.56,2:30.919
