Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME
1,13.34,13.34,2,13.41,13.41,3,13.56,13.56,4,13.70,13.70
3,10.27,23.61,1,9.97,23.38,4,10.13,23.69,2,9.79,23.49
3,9.87,33.48,2,9.96,33.34,4,9.85,33.54,1,9.76,33.25
4,9.59,43.07,1,9.47,42.81,3,9.52,43.06,2,9.80,43.05
3,9.16,52.23,1,9.15,51.96,2,9.00,52.06,4,9.71,52.76
2,8.77,1:01.00,1,8.95,1:00.91,3,8.99,1:01.05,4,9.62,1:02.38
1,9.08,1:10.08,2,9.18,1:10.09,3,9.35,1:10.40,4,10.01,1:12.39
1,9.14,1:19.22,2,9.23,1:19.32,3,9.35,1:19.75,4,10.23,1:22.62
1,9.51,1:28.726,2,9.56,1:28.878,3,10.01,1:29.754,4,13.26,1:35.879
