Steve ROBILLARD POSITION,Steve ROBILLARD LAP TIME,Steve ROBILLARD ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,Blake SKJELLERUP POSITION,Blake SKJELLERUP LAP TIME,Blake SKJELLERUP ELAPSED TIME
2,13.650,13.650,1,13.534,13.534,4,13.935,13.935,3,13.922,13.922
2,10.977,24.627,1,11.021,24.554,3,10.887,24.821,4,10.933,24.855
1,10.858,35.484,2,11.022,35.576,3,10.833,35.654,4,11.090,35.944
2,10.538,46.022,1,10.392,45.967,4,10.519,46.172,3,10.131,46.075
4,10.385,56.406,2,10.297,56.263,3,10.156,56.328,1,10.074,56.148
1,9.486,1:05.892,4,9.774,1:06.037,2,9.587,1:05.914,3,9.879,1:06.027
1,9.409,1:15.300,2,9.344,1:15.381,3,9.479,1:15.392,4,9.443,1:15.470
4,9.280,1:24.580,3,9.144,1:24.524,1,8.952,1:24.344,2,8.881,1:24.351
1,9.29,1:33.870,2,9.45,1:33.972,3,10.12,1:34.462,4,10.41,1:34.756
