CHO Ha-Ri POSITION,CHO Ha-Ri LAP TIME,CHO Ha-Ri ELAPSED TIME,Jessica GREGG POSITION,Jessica GREGG LAP TIME,Jessica GREGG ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,Katherine REUTTER-ADAMEK POSITION,Katherine REUTTER-ADAMEK LAP TIME,Katherine REUTTER-ADAMEK ELAPSED TIME,Stephanie BOUVIER POSITION,Stephanie BOUVIER LAP TIME,Stephanie BOUVIER ELAPSED TIME,WANG Meng POSITION,WANG Meng LAP TIME,WANG Meng ELAPSED TIME,Patrycja MALISZEWSKA POSITION,Patrycja MALISZEWSKA LAP TIME,Patrycja MALISZEWSKA ELAPSED TIME
2,8.04,8.04,5,8.53,8.53,4,8.37,8.37,3,8.17,8.17,6,8.66,8.66,1,8.00,8.00,7,8.80,8.80
2,12.03,20.07,5,11.91,20.44,4,11.96,20.33,3,12.01,20.18,6,11.89,20.55,1,11.93,19.93,7,11.87,20.67
3,12.25,32.32,5,12.10,32.54,1,11.74,32.07,4,12.26,32.44,7,12.14,32.69,2,12.26,32.19,6,11.87,32.54
4,11.63,43.95,6,11.74,44.28,1,11.70,43.77,3,11.48,43.92,7,11.76,44.45,2,11.64,43.83,5,11.63,44.17
3,10.44,54.39,6,10.43,54.71,4,10.76,54.53,1,10.24,54.16,7,10.36,54.81,2,10.43,54.26,5,10.47,54.64
3,10.66,1:05.05,6,10.64,1:05.35,4,10.66,1:05.19,1,10.61,1:04.77,7,10.62,1:05.43,2,10.64,1:04.90,5,10.60,1:05.24
3,10.32,1:15.37,6,10.32,1:15.67,4,10.34,1:15.53,1,10.39,1:15.16,7,10.29,1:15.72,2,10.29,1:15.19,5,10.37,1:15.61
3,9.63,1:25.00,6,9.61,1:25.28,4,9.56,1:25.09,2,9.71,1:24.87,7,9.58,1:25.30,1,9.60,1:24.79,5,9.60,1:25.21
3,10.20,1:35.20,5,10.08,1:35.36,4,10.20,1:35.29,2,10.20,1:35.07,7,10.24,1:35.54,1,10.17,1:34.96,6,10.18,1:35.39
3,10.40,1:45.60,7,10.57,1:45.93,4,10.41,1:45.70,2,10.39,1:45.46,6,10.33,1:45.87,1,10.39,1:45.35,5,10.41,1:45.80
3,10.19,1:55.79,7,10.31,1:56.24,4,10.19,1:55.89,2,10.18,1:55.64,6,10.15,1:56.02,1,10.18,1:55.53,5,10.18,1:55.98
2,9.82,2:05.61,7,10.46,2:06.70,4,9.93,2:05.82,3,10.03,2:05.67,5,9.89,2:05.91,1,10.05,2:05.58,6,10.50,2:06.48
1,8.94,2:14.55,7,10.28,2:16.98,4,9.27,2:15.09,2,9.14,2:14.81,5,9.32,2:15.23,3,9.27,2:14.85,6,10.18,2:16.66
1,9.52,2:24.067,7,11.22,2:28.195,4,9.61,2:24.699,2,9.34,2:24.146,5,9.78,2:25.005,3,9.71,2:24.559,6,10.70,2:27.354
