PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,KIKUCHI Sumire POSITION,KIKUCHI Sumire LAP TIME,KIKUCHI Sumire ELAPSED TIME,SARAULT Courtney Lee POSITION,SARAULT Courtney Lee LAP TIME,SARAULT Courtney Lee ELAPSED TIME,PENCHEVA Zornica POSITION,PENCHEVA Zornica LAP TIME,PENCHEVA Zornica ELAPSED TIME,FILIPOVA Lucia POSITION,FILIPOVA Lucia LAP TIME,FILIPOVA Lucia ELAPSED TIME
1,14.40,14.40,3,14.70,14.70,2,14.56,,5,14.97,14.97,4,14.84,14.84
1,11.62,26.02,3,11.63,26.33,2,11.64,,5,11.65,26.62,4,11.64,26.48
1,11.08,37.10,3,11.09,37.42,2,11.08,,5,11.07,37.69,4,11.07,37.55
1,10.29,47.39,3,10.21,47.63,2,10.24,,5,10.17,47.86,4,10.20,47.75
1,10.12,57.51,3,10.12,57.75,2,10.10,,5,10.16,58.02,4,10.15,57.90
1,9.82,1:07.33,3,9.73,1:07.48,2,9.72,,5,9.74,1:07.76,4,9.71,1:07.61
4,10.15,1:17.48,2,9.79,1:17.27,1,9.85,,5,9.83,1:17.59,3,9.74,1:17.35
3,9.91,1:27.39,2,10.02,1:27.29,1,9.98,,5,10.06,1:27.65,4,10.05,1:27.40
0,9.73,1:37.12,0,9.84,1:37.13,1,9.89,,5,9.81,1:37.46,4,10.00,1:37.40
