SEO Yi Ra POSITION,SEO Yi Ra LAP TIME,SEO Yi Ra ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,WU Dajing POSITION,WU Dajing LAP TIME,WU Dajing ELAPSED TIME,de LAAT Itzhak POSITION,de LAAT Itzhak LAP TIME,de LAAT Itzhak ELAPSED TIME,BLACKBURN Mackenzie POSITION,BLACKBURN Mackenzie LAP TIME,BLACKBURN Mackenzie ELAPSED TIME,Dmitry MIGUNOV POSITION,Dmitry MIGUNOV LAP TIME,Dmitry MIGUNOV ELAPSED TIME,CASSINELLI Andrea POSITION,CASSINELLI Andrea LAP TIME,CASSINELLI Andrea ELAPSED TIME
6,8.60,8.60,2,8.31,8.31,4,8.33,8.33,3,8.33,8.33,1,8.23,8.23,5,8.52,8.52,7,8.61,8.61
7,10.70,19.30,3,10.49,18.80,1,10.26,18.59,6,10.68,19.01,2,10.47,18.70,5,10.41,18.93,4,10.30,18.91
7,10.26,29.56,4,10.30,29.10,2,10.33,28.92,6,10.29,29.30,3,10.32,29.02,1,9.87,28.80,5,10.30,29.21
7,10.36,39.92,1,10.01,39.11,3,10.56,39.48,6,10.51,39.81,4,10.59,39.61,2,10.57,39.37,5,10.53,39.74
7,10.17,50.09,1,10.16,49.27,3,10.05,49.53,6,10.06,49.87,4,10.02,49.63,2,10.07,49.44,5,10.02,49.76
7,9.73,59.82,1,9.86,59.13,3,9.86,59.39,6,9.81,59.68,4,9.88,59.51,2,9.85,59.29,5,9.84,59.60
4,9.64,1:09.46,1,9.97,1:09.10,3,9.96,1:09.35,7,10.02,1:09.70,5,10.00,1:09.51,2,9.93,1:09.22,6,9.98,1:09.58
1,9.61,1:19.07,2,9.99,1:19.09,3,10.04,1:19.39,6,9.95,1:19.65,7,10.24,1:19.75,4,10.21,1:19.43,5,10.03,1:19.61
1,8.87,1:27.94,2,9.30,1:28.39,3,9.16,1:28.55,4,9.45,1:29.10,6,9.79,1:29.54,7,11.35,1:30.78,5,9.55,1:29.16
1,8.99,1:36.93,3,9.26,1:37.65,2,9.00,1:37.55,4,9.28,1:38.38,6,9.64,1:39.18,7,15.29,1:46.07,5,9.75,1:38.91
1,9.02,1:45.95,3,9.61,1:47.26,2,9.57,1:47.12,4,9.44,1:47.82,6,9.92,1:49.10,7,18.19,2:04.26,5,10.11,1:49.02
1,9.42,1:55.37,3,9.65,1:56.91,2,9.62,1:56.74,4,9.90,1:57.72,6,10.48,1:59.58,7,19.73,2:23.99,5,10.17,1:59.19
1,9.40,2:04.77,3,9.73,2:06.64,2,9.62,2:06.36,4,10.05,2:07.77,6,11.48,2:11.06,7,15.61,2:39.60,5,10.14,2:09.33
1,10.52,2:15.286,3,10.38,2:17.020,2,10.00,2:16.359,4,10.71,2:18.473,6,13.03,2:24.083,7,15.40,2:54.995,5,11.83,2:21.157
