Hugo BOSMA POSITION,Hugo BOSMA LAP TIME,Hugo BOSMA ELAPSED TIME,ZHANG Tianyi POSITION,ZHANG Tianyi LAP TIME,ZHANG Tianyi ELAPSED TIME,KIM Tae Sung POSITION,KIM Tae Sung LAP TIME,KIM Tae Sung ELAPSED TIME,Peter RICHES POSITION,Peter RICHES LAP TIME,Peter RICHES ELAPSED TIME,Luca LIM POSITION,Luca LIM LAP TIME,Luca LIM ELAPSED TIME,Reinis BERZINS POSITION,Reinis BERZINS LAP TIME,Reinis BERZINS ELAPSED TIME,MIYATA Shogo POSITION,MIYATA Shogo LAP TIME,MIYATA Shogo ELAPSED TIME
5,9.79,9.79,4,9.75,9.75,3,9.70,9.70,6,9.99,9.99,2,9.52,9.52,1,9.48,9.48,7,10.24,10.24
5,13.06,22.85,3,12.85,22.60,4,13.03,22.73,7,12.99,22.98,2,12.87,22.39,1,12.80,22.28,6,12.63,22.87
6,12.75,35.60,3,12.49,35.09,4,12.53,35.26,7,12.79,35.77,2,12.51,34.90,1,12.52,34.80,5,12.57,35.44
6,12.37,47.97,3,12.46,47.55,4,12.42,47.68,7,12.33,48.10,2,12.49,47.39,1,12.47,47.27,5,12.39,47.83
6,11.96,59.93,3,11.96,59.51,4,11.98,59.66,7,11.93,1:00.03,2,11.96,59.35,1,11.99,59.26,5,11.96,59.79
7,11.12,1:11.05,3,11.16,1:10.67,4,11.09,1:10.75,5,10.80,1:10.83,1,11.18,1:10.53,2,11.35,1:10.61,6,11.07,1:10.86
7,9.94,1:20.99,1,9.75,1:20.42,5,10.03,1:20.78,1,9.59,1:20.42,3,9.99,1:20.52,4,10.03,1:20.64,6,10.02,1:20.88
7,9.40,1:30.39,2,9.51,1:29.93,4,9.32,1:30.10,1,9.35,1:29.77,3,9.49,1:30.01,5,9.47,1:30.11,6,9.37,1:30.25
7,9.37,1:39.76,2,9.37,1:39.30,3,9.29,1:39.39,1,9.37,1:39.14,4,9.50,1:39.51,6,9.53,1:39.64,5,9.27,1:39.52
5,8.88,1:48.64,2,8.96,1:48.26,3,8.96,1:48.35,1,8.96,1:48.10,6,9.15,1:48.66,7,9.18,1:48.82,4,9.00,1:48.52
5,8.61,1:57.25,1,8.66,1:56.92,3,8.73,1:57.08,2,8.95,1:57.05,7,8.85,1:57.51,6,8.54,1:57.36,4,8.60,1:57.12
3,8.66,2:05.91,1,8.53,2:05.45,4,8.90,2:05.98,6,9.24,2:06.29,7,8.79,2:06.30,5,8.89,2:06.25,2,8.75,2:05.87
4,8.93,2:14.84,1,8.74,2:14.19,3,8.70,2:14.68,7,9.48,2:15.77,6,8.99,2:15.29,5,8.66,2:14.91,2,8.76,2:14.63
7,9.35,2:24.19,1,8.83,2:23.02,2,8.48,2:23.16,7,9.75,2:25.520,6,9.48,2:24.771,4,8.97,2:23.88,3,8.82,2:23.45
