Volodymyr GRYGORIEV POSITION,Volodymyr GRYGORIEV LAP TIME,Volodymyr GRYGORIEV ELAPSED TIME,Nicola FRANCESCHINA POSITION,Nicola FRANCESCHINA LAP TIME,Nicola FRANCESCHINA ELAPSED TIME,Andre HARTWIG POSITION,Andre HARTWIG LAP TIME,Andre HARTWIG ELAPSED TIME,Sascha LAUBER POSITION,Sascha LAUBER LAP TIME,Sascha LAUBER ELAPSED TIME
1,6.677,6.677,3,6.814,6.814,2,6.750,6.750,4,7.146,7.146
2,9.099,15.776,3,9.037,15.850,1,9.007,15.757,4,9.038,16.184
1,8.891,24.666,2,8.841,24.691,3,14.165,29.921,4,14.142,30.325
2,9.881,34.546,1,9.156,33.846,4,15.288,45.209,3,10.920,41.244
2,10.92,45.457,1,10.70,44.546,4,14.73,59.936,3,11.35,52.589
