MALISZEWSKA Natalia POSITION,MALISZEWSKA Natalia LAP TIME,MALISZEWSKA Natalia ELAPSED TIME,MALAGICH Emina POSITION,MALAGICH Emina LAP TIME,MALAGICH Emina ELAPSED TIME,NOH Do Hee POSITION,NOH Do Hee LAP TIME,NOH Do Hee ELAPSED TIME,Melanie BRANTNER POSITION,Melanie BRANTNER LAP TIME,Melanie BRANTNER ELAPSED TIME
2,16.38,16.38,4,16.53,16.53,1,16.34,16.34,3,16.43,16.43
2,11.44,27.82,4,11.43,27.96,1,11.38,27.72,3,11.46,27.89
2,11.00,38.82,1,10.74,38.70,3,11.14,38.86,4,11.27,39.16
1,10.59,49.41,2,10.79,49.49,3,10.85,49.71,4,10.71,49.87
1,10.66,1:00.07,2,10.68,1:00.17,3,10.65,1:00.36,4,10.66,1:00.53
1,10.50,1:10.57,2,10.47,1:10.64,3,10.33,1:10.69,4,10.60,1:11.13
2,11.31,1:21.88,4,22.03,1:32.67,1,10.18,1:20.87,3,11.07,1:22.20
2,10.66,1:32.54,4,13.78,1:46.45,1,10.10,1:30.97,3,11.25,1:33.45
2,10.67,1:43.210,4,11.70,1:58.146,1,10.30,1:41.263,3,11.26,1:44.702
