Fabrice DUFBERG SUH POSITION,Fabrice DUFBERG SUH LAP TIME,Fabrice DUFBERG SUH ELAPSED TIME,NEMIRO Nikita POSITION,NEMIRO Nikita LAP TIME,NEMIRO Nikita ELAPSED TIME,CASSINELLI Andrea POSITION,CASSINELLI Andrea LAP TIME,CASSINELLI Andrea ELAPSED TIME,Samuel GIRARD POSITION,Samuel GIRARD LAP TIME,Samuel GIRARD ELAPSED TIME
1,6.78,6.78,4,7.45,7.45,3,7.11,7.11,2,6.85,6.85
1,8.89,15.67,4,9.04,16.49,3,8.72,15.83,2,8.87,15.72
2,8.70,24.37,4,8.75,25.24,3,8.60,24.43,1,8.54,24.26
3,8.93,33.30,4,8.82,34.06,2,8.72,33.15,1,8.53,32.79
3,8.84,42.136,4,9.10,43.143,2,8.70,41.841,1,8.62,41.403
