Pieter GYSEL POSITION,Pieter GYSEL LAP TIME,Pieter GYSEL ELAPSED TIME,J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,LIANG Wenhao POSITION,LIANG Wenhao LAP TIME,LIANG Wenhao ELAPSED TIME,Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME
2,8.58,8.58,1,8.53,8.53,3,8.87,8.87,4,9.04,9.04,5,9.14,9.14
2,11.79,20.37,4,11.93,20.46,1,11.50,20.37,3,11.37,20.41,5,11.38,20.52
2,10.74,31.11,4,10.82,31.28,3,10.86,31.23,1,10.60,31.01,5,10.86,31.38
4,11.23,42.34,5,11.30,42.58,2,11.00,42.23,3,11.25,42.26,1,10.72,42.10
4,10.84,53.18,5,10.70,53.28,2,10.80,53.03,3,10.86,53.12,1,10.82,52.92
4,10.48,1:03.66,3,10.31,1:03.59,1,10.39,1:03.42,5,10.56,1:03.68,2,10.60,1:03.52
4,10.41,1:14.07,2,10.28,1:13.87,1,10.39,1:13.81,5,10.52,1:14.20,3,10.47,1:13.99
4,10.16,1:24.23,2,10.19,1:24.06,1,10.20,1:24.01,5,10.16,1:24.36,3,10.17,1:24.16
3,10.04,1:34.27,2,10.13,1:34.19,1,10.15,1:34.16,5,10.18,1:34.54,4,10.25,1:34.41
3,9.90,1:44.17,2,9.87,1:44.06,1,9.84,1:44.00,5,9.87,1:44.41,4,9.87,1:44.28
3,9.48,1:53.65,2,9.57,1:53.63,1,9.52,1:53.52,5,9.54,1:53.95,4,9.56,1:53.84
3,9.48,2:03.13,2,9.42,2:03.05,1,9.40,2:02.92,5,9.44,2:03.39,4,9.46,2:03.30
3,9.26,2:12.39,2,9.24,2:12.29,1,9.30,2:12.22,4,9.18,2:12.57,5,9.72,2:13.02
3,9.13,2:21.511,1,9.09,2:21.379,2,9.24,2:21.456,4,9.01,2:21.577,5,10.32,2:23.335
