van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME,ZANG Yize POSITION,ZANG Yize LAP TIME,ZANG Yize ELAPSED TIME,CHOI Min Jeong POSITION,CHOI Min Jeong LAP TIME,CHOI Min Jeong ELAPSED TIME,Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME,Anastassiya KRESTOVA POSITION,Anastassiya KRESTOVA LAP TIME,Anastassiya KRESTOVA ELAPSED TIME
1,7.07,7.07,2,7.30,7.30,3,7.48,7.48,4,7.69,7.69,5,7.79,7.79
1,9.25,16.32,2,9.15,16.45,3,9.07,16.55,5,9.44,17.13,4,9.22,17.01
1,8.90,25.22,2,8.86,25.31,3,8.78,25.33,5,8.85,25.98,4,8.80,25.81
2,9.11,34.33,3,9.12,34.43,1,8.80,34.13,5,8.91,34.89,4,9.07,34.88
2,9.23,43.56,3,9.22,43.65,1,8.94,43.07,5,9.80,44.698,4,9.51,44.399
