CASSINELLI Andrea POSITION,CASSINELLI Andrea LAP TIME,CASSINELLI Andrea ELAPSED TIME,Serhiy LIFYRENKO POSITION,Serhiy LIFYRENKO LAP TIME,Serhiy LIFYRENKO ELAPSED TIME,Myukerrem TOP POSITION,Myukerrem TOP LAP TIME,Myukerrem TOP ELAPSED TIME,Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME
2,15.65,15.65,4,15.92,15.92,1,15.50,15.50,3,15.81,15.81
2,11.83,27.48,4,11.93,27.85,1,11.83,27.33,3,11.89,27.70
2,11.06,38.54,3,10.83,38.68,1,11.07,38.40,4,11.01,38.71
2,10.59,49.13,3,10.58,49.26,1,10.51,48.91,4,10.74,49.45
2,9.51,58.64,3,9.51,58.77,1,9.58,58.49,4,9.38,58.83
2,9.35,1:07.99,4,9.31,1:08.08,1,9.48,1:07.97,3,9.24,1:08.07
1,9.34,1:17.33,3,9.40,1:17.48,4,9.88,1:17.85,2,9.27,1:17.34
2,9.34,1:26.67,3,9.23,1:26.71,4,10.00,1:27.85,1,9.17,1:26.51
2,9.34,1:36.002,3,9.48,1:36.189,4,10.29,1:38.132,1,9.31,1:35.817
