Aydar BEKZHANOV POSITION,Aydar BEKZHANOV LAP TIME,Aydar BEKZHANOV ELAPSED TIME,Kiril PANDOV POSITION,Kiril PANDOV LAP TIME,Kiril PANDOV ELAPSED TIME,Adam FILIPOWICZ POSITION,Adam FILIPOWICZ LAP TIME,Adam FILIPOWICZ ELAPSED TIME
2,7.16,7.16,1,7.06,7.06,3,7.18,7.18
3,9.55,16.71,1,9.30,16.36,2,9.31,16.49
3,8.65,25.36,1,8.85,25.21,2,8.78,25.27
3,9.02,34.38,2,9.14,34.35,1,8.89,34.16
2,9.02,43.399,3,9.27,43.611,1,9.20,43.358
