Francesca JACKSON POSITION,Francesca JACKSON LAP TIME,Francesca JACKSON ELAPSED TIME,Hiroko SADAKANE POSITION,Hiroko SADAKANE LAP TIME,Hiroko SADAKANE ELAPSED TIME,Xeniya MOTOVA POSITION,Xeniya MOTOVA LAP TIME,Xeniya MOTOVA ELAPSED TIME,Katherine REUTTER-ADAMEK POSITION,Katherine REUTTER-ADAMEK LAP TIME,Katherine REUTTER-ADAMEK ELAPSED TIME,Cecilia MAFFEI POSITION,Cecilia MAFFEI LAP TIME,Cecilia MAFFEI ELAPSED TIME
1,9.05,9.05,2,9.14,9.14,3,9.15,9.15,5,9.62,9.62,4,9.52,9.52
1,12.32,21.37,3,12.54,21.68,2,12.47,21.62,5,12.49,22.11,4,12.32,21.84
1,12.64,34.01,3,12.54,34.22,2,12.43,34.05,5,12.50,34.61,4,12.53,34.37
1,12.69,46.70,3,12.64,46.86,2,12.78,46.83,5,12.60,47.21,4,12.70,47.07
1,12.57,59.27,3,12.71,59.57,2,12.53,59.36,5,12.59,59.80,4,12.53,59.60
1,12.78,1:12.05,3,12.78,1:12.35,2,12.98,1:12.34,5,13.05,1:12.85,4,13.12,1:12.72
3,12.47,1:24.52,2,12.16,1:24.51,4,12.29,1:24.63,5,12.19,1:25.04,1,11.68,1:24.40
1,11.05,1:35.57,3,11.16,1:35.67,4,11.25,1:35.88,5,10.91,1:35.95,2,11.26,1:35.66
2,11.29,1:46.86,1,11.15,1:46.82,4,11.25,1:47.13,5,11.39,1:47.34,3,11.21,1:46.87
3,10.48,1:57.34,1,10.29,1:57.11,4,10.24,1:57.37,5,10.33,1:57.67,2,10.34,1:57.21
2,10.35,2:07.69,1,10.56,2:07.67,4,10.54,2:07.91,5,10.32,2:07.99,3,10.49,2:07.70
5,10.85,2:18.54,1,10.12,2:17.79,4,10.08,2:17.99,2,9.85,2:17.84,3,10.24,2:17.94
5,10.92,2:29.46,2,9.69,2:27.48,4,10.17,2:28.16,1,9.64,2:27.48,3,9.75,2:27.69
5,12.36,2:41.812,2,9.86,2:37.338,4,10.42,2:38.571,1,9.73,2:37.208,3,9.72,2:37.409
