Jessica GREGG POSITION,Jessica GREGG LAP TIME,Jessica GREGG ELAPSED TIME,Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,YANG Shin-Young POSITION,YANG Shin-Young LAP TIME,YANG Shin-Young ELAPSED TIME
2,7.03,7.03,1,6.98,6.98,3,7.45,7.45,4,7.81,7.81
1,9.48,16.52,2,9.59,16.57,3,9.22,16.68,4,9.77,17.59
1,8.90,25.43,3,9.41,25.98,2,8.85,25.53,4,9.45,27.04
1,9.11,34.54,4,13.19,39.18,2,9.05,34.59,3,9.57,36.61
1,9.48,44.015,4,15.89,55.067,2,9.51,44.096,3,9.93,46.531
