Wojciech KAMIENSKI POSITION,Wojciech KAMIENSKI LAP TIME,Wojciech KAMIENSKI ELAPSED TIME,Sohan Sudhir TARKAR POSITION,Sohan Sudhir TARKAR LAP TIME,Sohan Sudhir TARKAR ELAPSED TIME,Roberts ZVEJNIEKS POSITION,Roberts ZVEJNIEKS LAP TIME,Roberts ZVEJNIEKS ELAPSED TIME,HANDEI Volodymyr POSITION,HANDEI Volodymyr LAP TIME,HANDEI Volodymyr ELAPSED TIME,Jens ALMEY POSITION,Jens ALMEY LAP TIME,Jens ALMEY ELAPSED TIME
3,15.14,15.14,5,15.47,15.47,1,14.95,14.95,4,15.27,15.27,2,15.04,15.04
2,11.02,26.16,5,11.12,26.59,1,11.08,26.03,4,11.07,26.34,3,11.12,26.16
2,9.76,35.92,5,10.43,37.02,1,9.78,35.81,4,9.89,36.23,3,9.88,36.04
2,9.51,45.43,5,10.58,47.60,1,9.54,45.35,4,9.38,45.61,3,9.48,45.52
2,9.77,55.20,5,11.14,58.74,1,9.67,55.02,4,9.87,55.48,3,9.81,55.33
2,9.42,1:04.62,5,11.74,1:10.48,1,9.45,1:04.47,4,9.41,1:04.89,3,9.44,1:04.77
2,9.46,1:14.08,5,12.68,1:23.16,1,9.48,1:13.95,4,9.48,1:14.37,3,9.44,1:14.21
2,9.56,1:23.64,5,14.21,1:37.37,1,9.60,1:23.55,4,9.66,1:24.03,3,9.49,1:23.70
4,21.68,1:45.313,5,13.94,1:51.308,2,9.89,1:33.435,3,10.21,1:34.234,1,9.58,1:33.278
