START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,season,competition,event,gender,round,race
0,12.143,12.143,0,12.389,12.389,0,11.985,11.985,2006-2007,"ISU World Cup 2006/2007, Netherlands, Heerenveen",5000mRelay,m,Heats,1
0,9.222,21.365,0,9.216,21.604,0,8.561,20.546,2006-2007,"ISU World Cup 2006/2007, Netherlands, Heerenveen",5000mRelay,m,Heats,1
0,9.365,30.730,0,9.329,30.933,0,8.714,29.260,2006-2007,"ISU World Cup 2006/2007, Netherlands, Heerenveen",5000mRelay,m,Heats,1
0,9.552,40.282,0,9.168,40.101,0,9.804,39.064,2006-2007,"ISU World Cup 2006/2007, Netherlands, Heerenveen",5000mRelay,m,Heats,1
0,9.194,49.476,0,9.236,49.337,0,9.176,48.240,2006-2007,"ISU World Cup 2006/2007, Netherlands, Heerenveen",5000mRelay,m,Heats,1
0,9.068,58.544,0,9.083,58.420,0,9.307,57.547,2006-2007,"ISU World Cup 2006/2007, Netherlands, Heerenveen",5000mRelay,m,Heats,1
0,9.297,1:07.841,0,9.162,1:07.582,0,9.260,1:06.807,2006-2007,"ISU World Cup 2006/2007, Netherlands, Heerenveen",5000mRelay,m,Heats,1
0,8.937,1:16.777,0,9.168,1:16.750,0,8.920,1:15.727,2006-2007,"ISU World Cup 2006/2007, Netherlands, Heerenveen",5000mRelay,m,Heats,1
0,9.069,1:25.846,0,9.127,1:25.878,0,8.771,1:24.498,2006-2007,"ISU World Cup 2006/2007, Netherlands, Heerenveen",5000mRelay,m,Heats,1
0,8.918,1:34.764,0,9.184,1:35.062,0,9.432,1:33.930,2006-2007,"ISU World Cup 2006/2007, Netherlands, Heerenveen",5000mRelay,m,Heats,1
0,9.120,1:43.883,0,16.405,1:51.467,0,9.163,1:43.092,2006-2007,"ISU World Cup 2006/2007, Netherlands, Heerenveen",5000mRelay,m,Heats,1
0,9.093,1:52.977,0,10.043,2:01.509,0,8.942,1:52.035,2006-2007,"ISU World Cup 2006/2007, Netherlands, Heerenveen",5000mRelay,m,Heats,1
0,9.263,2:02.239,0,9.628,2:11.137,0,9.266,2:01.301,2006-2007,"ISU World Cup 2006/2007, Netherlands, Heerenveen",5000mRelay,m,Heats,1
0,9.369,2:11.608,0,9.413,2:20.551,0,9.345,2:10.645,2006-2007,"ISU World Cup 2006/2007, Netherlands, Heerenveen",5000mRelay,m,Heats,1
