Ingmar van RIEL POSITION,Ingmar van RIEL LAP TIME,Ingmar van RIEL ELAPSED TIME,Torsten KROEGER POSITION,Torsten KROEGER LAP TIME,Torsten KROEGER ELAPSED TIME,LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME,Satoru TERAO POSITION,Satoru TERAO LAP TIME,Satoru TERAO ELAPSED TIME
1,6.74,6.74,2,7.07,7.07,4,7.19,7.19,3,7.13,7.13
1,9.26,16.01,2,9.17,16.25,4,9.20,16.40,3,9.23,16.37
2,8.95,24.96,3,8.79,25.04,1,8.53,24.94,4,8.81,25.19
2,8.98,33.94,3,8.99,34.03,1,8.67,33.61,4,8.93,34.12
2,9.36,43.291,4,9.44,43.464,1,9.06,42.661,3,9.21,43.330
