START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,season,competition,event,gender,round,race
3,9.84,9.84,7,10.29,,6,10.15,10.15,4,10.01,10.01,5,10.03,10.03,2,9.71,9.71,1,9.32,9.32,2018-2019,ISU European Short Track Championships 2019 - Dordrecht (NED),1500m,m,Quarterfinals,7
4,11.01,20.85,7,10.77,,6,10.79,20.94,3,10.74,20.75,5,10.90,20.93,2,10.88,20.59,1,10.77,20.09,2018-2019,ISU European Short Track Championships 2019 - Dordrecht (NED),1500m,m,Quarterfinals,7
4,9.95,30.80,5,9.84,,6,10.07,31.01,3,9.96,30.71,7,10.18,31.11,2,10.00,30.59,1,10.14,30.23,2018-2019,ISU European Short Track Championships 2019 - Dordrecht (NED),1500m,m,Quarterfinals,7
4,10.07,40.87,5,9.99,,6,10.03,41.04,3,10.06,40.77,7,10.02,41.13,2,10.09,40.68,1,10.21,40.44,2018-2019,ISU European Short Track Championships 2019 - Dordrecht (NED),1500m,m,Quarterfinals,7
6,10.48,51.35,4,10.23,,5,10.19,51.23,3,10.26,51.03,7,10.26,51.39,2,10.24,50.92,1,10.33,50.77,2018-2019,ISU European Short Track Championships 2019 - Dordrecht (NED),1500m,m,Quarterfinals,7
6,10.16,1:01.51,5,10.19,,4,10.02,1:01.25,3,10.15,1:01.18,7,10.20,1:01.59,1,10.12,1:01.04,2,10.29,1:01.06,2018-2019,ISU European Short Track Championships 2019 - Dordrecht (NED),1500m,m,Quarterfinals,7
5,9.99,1:11.50,4,10.06,,3,10.02,1:11.27,2,10.01,1:11.19,6,9.94,1:11.53,1,10.03,1:11.07,7,10.56,1:11.62,2018-2019,ISU European Short Track Championships 2019 - Dordrecht (NED),1500m,m,Quarterfinals,7
6,10.17,1:21.67,3,9.83,,1,9.78,1:21.05,3,10.01,1:21.20,5,9.83,1:21.36,2,9.99,1:21.06,7,10.17,1:21.79,2018-2019,ISU European Short Track Championships 2019 - Dordrecht (NED),1500m,m,Quarterfinals,7
7,10.42,1:32.09,3,9.74,,1,9.62,1:30.67,4,9.91,1:31.11,5,9.90,1:31.26,2,9.76,1:30.82,6,9.92,1:31.71,2018-2019,ISU European Short Track Championships 2019 - Dordrecht (NED),1500m,m,Quarterfinals,7
7,10.93,1:43.02,3,9.75,,2,9.98,1:40.65,4,9.77,1:40.88,5,9.80,1:41.06,1,9.73,1:40.55,6,10.16,1:41.87,2018-2019,ISU European Short Track Championships 2019 - Dordrecht (NED),1500m,m,Quarterfinals,7
5,11.25,1:54.27,7,33.15,,6,30.90,2:11.55,2,9.69,1:50.57,3,10.05,1:51.11,1,9.58,1:50.13,4,10.51,1:52.38,2018-2019,ISU European Short Track Championships 2019 - Dordrecht (NED),1500m,m,Quarterfinals,7
5,11.56,2:05.83,6,18.30,,7,21.31,2:32.86,2,9.86,2:00.43,3,10.49,2:01.60,1,9.48,1:59.61,4,10.88,2:03.26,2018-2019,ISU European Short Track Championships 2019 - Dordrecht (NED),1500m,m,Quarterfinals,7
5,11.98,2:17.81,6,12.90,,7,13.36,2:46.22,2,10.41,2:10.84,3,11.06,2:12.66,1,9.51,2:09.12,4,11.38,2:14.64,2018-2019,ISU European Short Track Championships 2019 - Dordrecht (NED),1500m,m,Quarterfinals,7
5,11.86,2:29.67,6,11.26,,7,11.48,2:57.70,2,11.26,2:22.10,3,11.44,2:24.10,1,9.61,2:18.73,4,11.42,2:26.06,2018-2019,ISU European Short Track Championships 2019 - Dordrecht (NED),1500m,m,Quarterfinals,7
