DUBOIS Steven POSITION,DUBOIS Steven LAP TIME,DUBOIS Steven ELAPSED TIME,Julian MACARAEG POSITION,Julian MACARAEG LAP TIME,Julian MACARAEG ELAPSED TIME,YOSHINAGA Kazuki POSITION,YOSHINAGA Kazuki LAP TIME,YOSHINAGA Kazuki ELAPSED TIME,SCHUBERT Christoph POSITION,SCHUBERT Christoph LAP TIME,SCHUBERT Christoph ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME
1,12.97,12.97,5,13.54,13.54,2,13.09,13.09,4,13.35,13.35,3,13.24,13.24
3,10.09,23.06,5,9.71,23.25,4,10.07,23.16,2,9.57,22.92,1,9.55,22.79
3,9.27,32.33,5,9.39,32.64,4,9.33,32.49,2,9.30,32.22,1,9.31,32.10
2,9.16,41.49,5,9.20,41.84,4,9.17,41.66,2,9.27,41.49,1,9.29,41.39
2,9.07,50.56,5,9.17,51.01,3,8.99,50.65,4,9.27,50.76,1,9.04,50.43
2,8.95,59.51,5,9.43,1:00.44,3,8.98,59.63,4,8.97,59.73,1,8.98,59.41
1,8.66,1:08.17,5,9.86,1:10.30,3,8.74,1:08.37,4,8.85,1:08.58,2,8.87,1:08.28
1,8.77,1:16.94,5,10.29,1:20.59,3,8.94,1:17.31,4,8.96,1:17.54,2,8.97,1:17.25
1,9.18,1:26.12,5,10.58,1:31.17,0,8.88,1:26.19,4,9.09,1:26.63,0,8.92,1:26.17
