Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Tomas GRESCHNER POSITION,Tomas GRESCHNER LAP TIME,Tomas GRESCHNER ELAPSED TIME,Dave VERSTEEG POSITION,Dave VERSTEEG LAP TIME,Dave VERSTEEG ELAPSED TIME,Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME
2,13.472,13.472,1,13.397,13.397,3,13.504,13.504,4,13.782,13.782
2,10.634,24.105,1,10.521,23.918,3,10.648,24.151,4,10.502,24.283
2,10.148,34.253,1,10.036,33.954,4,10.175,34.326,3,10.023,34.305
2,10.048,44.300,1,10.101,44.054,3,10.121,44.446,4,10.217,44.522
2,9.539,53.839,1,9.628,53.682,3,9.463,53.909,4,9.489,54.010
3,9.461,1:03.299,1,9.518,1:03.199,2,9.369,1:03.278,4,9.402,1:03.412
1,9.375,1:12.673,4,9.633,1:12.832,2,9.414,1:12.691,3,9.298,1:12.709
1,9.573,1:22.246,3,9.638,1:22.469,4,10.090,1:22.781,2,9.594,1:22.303
2,9.93,1:32.176,3,9.91,1:32.376,4,9.64,1:32.416,1,9.71,1:32.009
