MANOILOVA Katrin POSITION,MANOILOVA Katrin LAP TIME,MANOILOVA Katrin ELAPSED TIME,TALAYEVA Volha POSITION,TALAYEVA Volha LAP TIME,TALAYEVA Volha ELAPSED TIME,SEJPALOVA-HRUZOVA Michaela POSITION,SEJPALOVA-HRUZOVA Michaela LAP TIME,SEJPALOVA-HRUZOVA Michaela ELAPSED TIME,BACSKAI Sara Luca POSITION,BACSKAI Sara Luca LAP TIME,BACSKAI Sara Luca ELAPSED TIME
2,7.81,7.81,1,7.60,7.60,4,8.11,8.11,3,7.90,
2,9.76,17.57,1,9.90,17.50,4,9.97,18.08,2,9.67,
1,9.48,27.05,2,9.61,27.11,4,9.51,27.59,3,9.61,
1,9.50,36.55,3,9.68,36.79,4,9.66,37.25,2,9.46,
1,9.57,46.095,2,9.65,46.422,3,9.80,47.036,2,9.51,
