ZHOU Yang POSITION,ZHOU Yang LAP TIME,ZHOU Yang ELAPSED TIME,NOH Do Hee POSITION,NOH Do Hee LAP TIME,NOH Do Hee ELAPSED TIME,Valerie MALTAIS POSITION,Valerie MALTAIS LAP TIME,Valerie MALTAIS ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,Maria OBORINA POSITION,Maria OBORINA LAP TIME,Maria OBORINA ELAPSED TIME
2,13.96,13.96,4,14.21,14.21,1,13.83,13.83,3,14.06,14.06,5,14.29,14.29
2,10.54,24.50,5,10.67,24.88,1,10.52,24.35,3,10.54,24.60,4,10.41,24.70
1,9.92,34.42,5,9.91,34.79,2,10.08,34.43,3,9.97,34.57,4,9.97,34.67
1,9.66,44.08,5,9.58,44.37,2,9.74,44.17,3,9.69,44.26,4,9.62,44.29
2,9.90,53.98,3,9.71,54.08,1,9.70,53.87,5,11.48,55.74,4,10.94,55.23
2,9.69,1:03.67,3,9.72,1:03.80,1,9.71,1:03.58,5,11.06,1:06.80,4,10.55,1:05.78
2,9.61,1:13.28,3,9.55,1:13.35,1,9.53,1:13.11,5,11.41,1:18.21,4,10.24,1:16.02
3,9.67,1:22.95,2,9.36,1:22.71,1,9.53,1:22.64,5,11.43,1:29.64,4,10.57,1:26.59
3,9.83,1:32.779,2,9.59,1:32.300,1,9.60,1:32.235,4,11.72,1:41.352,0,,PEN
