KAUFMANN-LUDWIG Leon POSITION,KAUFMANN-LUDWIG Leon LAP TIME,KAUFMANN-LUDWIG Leon ELAPSED TIME,Yoann MARTINEZ POSITION,Yoann MARTINEZ LAP TIME,Yoann MARTINEZ ELAPSED TIME,Alexander FATHOULLIN POSITION,Alexander FATHOULLIN LAP TIME,Alexander FATHOULLIN ELAPSED TIME,Istvan GAL ORAVECZ POSITION,Istvan GAL ORAVECZ LAP TIME,Istvan GAL ORAVECZ ELAPSED TIME,In Suk HONG POSITION,In Suk HONG LAP TIME,In Suk HONG ELAPSED TIME
3,13.76,13.76,4,14.00,14.00,5,14.47,14.47,1,13.57,13.57,2,13.61,13.61
1,10.10,23.86,4,10.50,24.50,5,10.20,24.67,2,10.35,23.92,3,10.33,23.94
1,10.12,33.98,2,9.54,34.04,5,10.00,34.67,4,10.27,34.19,3,10.23,34.17
1,9.93,43.91,4,10.25,44.29,5,9.66,44.33,2,9.76,43.95,3,9.81,43.98
4,9.89,53.80,1,8.90,53.19,5,9.69,54.02,3,9.46,53.41,2,9.42,53.40
4,9.36,1:03.16,3,9.79,1:02.98,5,9.26,1:03.28,1,9.21,1:02.62,2,9.27,1:02.67
5,9.47,1:12.63,4,9.64,1:12.62,3,8.99,1:12.27,1,9.26,1:11.88,2,9.22,1:11.89
5,9.78,1:22.41,4,8.73,1:21.35,3,9.01,1:21.28,1,9.20,1:21.08,2,9.21,1:21.10
5,10.42,1:32.822,4,9.78,1:31.129,1,9.09,1:30.361,3,9.62,1:30.697,2,9.55,1:30.649
