Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME,Ian UPCOTT POSITION,Ian UPCOTT LAP TIME,Ian UPCOTT ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Vincent JEANNE POSITION,Vincent JEANNE LAP TIME,Vincent JEANNE ELAPSED TIME,Lachlan HAY POSITION,Lachlan HAY LAP TIME,Lachlan HAY ELAPSED TIME,Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME
1,10.16,10.16,2,10.25,10.25,4,10.55,10.55,3,10.37,10.37,5,10.71,10.71,6,10.83,10.83
1,15.83,25.99,2,15.91,26.16,4,15.92,26.47,3,15.94,26.31,5,15.90,26.61,6,15.95,26.78
1,15.05,41.04,2,14.94,41.10,4,14.78,41.25,3,14.85,41.16,5,14.91,41.52,6,14.87,41.65
2,12.23,53.27,3,12.28,53.38,4,12.25,53.50,1,11.92,53.08,5,12.10,53.62,6,12.08,53.73
2,10.71,1:03.98,1,10.56,1:03.94,4,10.66,1:04.16,3,10.96,1:04.04,5,10.65,1:04.27,6,10.70,1:04.43
1,10.22,1:14.20,2,10.33,1:14.27,4,10.30,1:14.46,3,10.23,1:14.27,5,10.24,1:14.51,6,10.24,1:14.67
2,10.04,1:24.24,4,10.06,1:24.33,5,9.98,1:24.44,3,10.02,1:24.29,1,9.73,1:24.24,6,9.88,1:24.55
3,9.56,1:33.80,2,9.38,1:33.71,5,9.52,1:33.96,4,9.65,1:33.94,1,9.34,1:33.58,6,9.56,1:34.11
3,9.47,1:43.27,2,9.45,1:43.16,4,9.41,1:43.37,5,9.46,1:43.40,1,9.53,1:43.11,6,9.49,1:43.60
2,9.35,1:52.62,1,9.35,1:52.51,4,9.42,1:52.79,5,9.54,1:52.94,3,9.66,1:52.77,6,9.44,1:53.04
2,9.43,2:02.05,1,9.47,2:01.98,3,9.35,2:02.14,4,9.27,2:02.21,6,10.15,2:02.92,5,9.27,2:02.31
4,9.84,2:11.89,5,10.18,2:12.16,1,9.38,2:11.52,3,9.50,2:11.71,6,10.40,2:13.32,2,9.25,2:11.56
4,9.47,2:21.36,5,10.13,2:22.29,1,9.47,2:20.99,3,9.42,2:21.13,6,10.55,2:23.87,2,9.54,2:21.10
0,,PEN,3,10.72,2:33.005,1,9.64,2:30.625,0,,PEN,4,10.89,2:34.757,2,9.79,2:30.888
