Lana GEHRING POSITION,Lana GEHRING LAP TIME,Lana GEHRING ELAPSED TIME,Jessica HEWITT POSITION,Jessica HEWITT LAP TIME,Jessica HEWITT ELAPSED TIME,Ayuko ITO POSITION,Ayuko ITO LAP TIME,Ayuko ITO ELAPSED TIME,Sanne van KERKHOF POSITION,Sanne van KERKHOF LAP TIME,Sanne van KERKHOF ELAPSED TIME
2,13.14,13.14,1,13.05,13.05,4,13.42,13.42,3,13.29,13.29
2,9.87,23.01,1,9.86,22.91,4,9.81,23.23,3,9.84,23.13
2,9.88,32.89,1,9.87,32.78,4,9.87,33.10,3,9.88,33.01
2,9.82,42.71,1,9.83,42.61,4,9.80,42.90,3,9.80,42.81
2,9.94,52.65,1,9.94,52.55,4,9.97,52.87,3,9.95,52.76
1,9.53,1:02.18,2,9.81,1:02.36,4,9.70,1:02.57,3,9.72,1:02.48
1,9.67,1:11.85,2,9.59,1:11.95,4,9.67,1:12.24,3,9.67,1:12.15
1,9.72,1:21.57,2,9.72,1:21.67,3,9.63,1:21.87,4,9.99,1:22.14
1,9.85,1:31.414,2,9.85,1:31.517,3,9.73,1:31.592,4,10.50,1:32.638
