FU Tian Yu POSITION,FU Tian Yu LAP TIME,FU Tian Yu ELAPSED TIME,YANG Shin-Young POSITION,YANG Shin-Young LAP TIME,YANG Shin-Young ELAPSED TIME,Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME,HWANG Hye Jong POSITION,HWANG Hye Jong LAP TIME,HWANG Hye Jong ELAPSED TIME
1,7.30,7.30,2,7.78,7.78,4,12.76,12.76,3,7.94,7.94
2,9.51,16.82,3,9.77,17.55,1,3.98,16.75,4,10.38,18.33
2,9.15,25.98,3,9.21,26.76,1,9.14,25.90,4,8.83,27.16
2,9.31,35.29,3,9.43,36.20,1,8.99,34.89,4,9.50,36.66
1,9.39,44.678,3,9.82,46.020,2,9.87,44.760,4,10.06,46.714
