Annita van DOORN POSITION,Annita van DOORN LAP TIME,Annita van DOORN ELAPSED TIME,Kalyna ROBERGE POSITION,Kalyna ROBERGE LAP TIME,Kalyna ROBERGE ELAPSED TIME,JUNG Eun-Ju POSITION,JUNG Eun-Ju LAP TIME,JUNG Eun-Ju ELAPSED TIME,Kimberly DERRICK POSITION,Kimberly DERRICK LAP TIME,Kimberly DERRICK ELAPSED TIME,Evita KRIEVANE POSITION,Evita KRIEVANE LAP TIME,Evita KRIEVANE ELAPSED TIME
0,9.443,9.443,0,9.552,9.552,0,9.766,9.766,0,9.364,9.364,0,9.092,9.092
0,12.911,22.353,0,12.865,22.417,0,12.984,22.750,0,13.075,22.439,0,13.200,22.292
0,12.350,34.703,0,12.419,34.836,0,12.406,35.156,0,11.942,34.381,0,12.335,34.627
0,11.990,46.693,0,11.957,46.793,0,11.989,47.145,0,11.968,46.349,0,11.917,46.544
0,11.154,57.847,0,11.216,58.009,0,11.170,58.315,0,11.577,57.926,0,10.959,57.503
0,11.144,1:08.992,0,11.028,1:09.037,0,11.070,1:09.385,0,11.130,1:09.056,0,11.276,1:08.778
0,10.976,1:19.968,0,10.855,1:19.892,0,10.966,1:20.351,0,11.072,1:20.127,0,11.091,1:19.870
0,10.237,1:30.205,0,10.077,1:29.969,0,10.078,1:30.429,0,10.095,1:30.223,0,10.219,1:30.089
0,9.931,1:40.135,0,10.037,1:40.005,0,9.850,1:40.280,0,9.853,1:40.075,0,10.103,1:40.192
0,9.785,1:49.920,0,9.619,1:49.624,0,9.561,1:49.841,0,10.028,1:50.103,0,10.148,1:50.340
0,9.894,1:59.814,0,9.729,1:59.352,0,9.516,1:59.357,0,10.450,2:00.553,0,10.561,2:00.901
0,10.104,2:09.918,0,9.845,2:09.198,0,9.891,2:09.248,0,9.332,2:09.885,0,9.117,2:10.018
0,10.409,2:20.327,0,10.372,2:19.570,0,10.348,2:19.596,0,12.515,2:22.401,0,13.605,2:23.623
0,10.810,2:31.137,0,10.385,2:29.955,0,,,0,8.789,2:31.190,0,12.316,2:35.939
