ARADHYA Akash POSITION,ARADHYA Akash LAP TIME,ARADHYA Akash ELAPSED TIME,Roberto PUKITIS POSITION,Roberto PUKITIS LAP TIME,Roberto PUKITIS ELAPSED TIME,Yauheni RYZHOU POSITION,Yauheni RYZHOU LAP TIME,Yauheni RYZHOU ELAPSED TIME,XU Fu POSITION,XU Fu LAP TIME,XU Fu ELAPSED TIME,Christopher JARDEN POSITION,Christopher JARDEN LAP TIME,Christopher JARDEN ELAPSED TIME
2,15.15,15.15,2,15.15,15.15,5,15.43,15.43,4,15.42,15.42,1,14.88,14.88
4,10.43,25.58,2,10.13,25.28,4,10.15,25.58,3,9.99,25.41,1,10.30,25.18
5,10.20,35.78,2,10.07,35.35,4,9.99,35.57,3,10.06,35.47,1,10.08,35.26
5,10.06,45.84,2,9.83,45.18,1,9.50,45.07,4,9.91,45.38,3,10.10,45.36
5,10.06,55.90,2,9.22,54.40,1,9.27,54.34,3,9.18,54.56,4,9.55,54.91
5,10.36,1:06.26,2,9.26,1:03.66,1,9.26,1:03.60,3,9.22,1:03.78,4,9.65,1:04.56
5,11.00,1:17.26,1,9.05,1:12.71,2,9.23,1:12.83,3,9.08,1:12.86,4,9.74,1:14.30
5,11.65,1:28.91,1,9.01,1:21.72,3,9.25,1:22.08,2,8.98,1:21.84,4,10.18,1:24.48
5,12.24,1:41.15,1,9.10,1:30.82,3,9.26,1:31.34,2,9.10,1:30.94,4,10.60,1:35.08
