Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Haralds SILOVS POSITION,Haralds SILOVS LAP TIME,Haralds SILOVS ELAPSED TIME,Alexander MERRIMAN POSITION,Alexander MERRIMAN LAP TIME,Alexander MERRIMAN ELAPSED TIME,Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,LIU Xiao Liang POSITION,LIU Xiao Liang LAP TIME,LIU Xiao Liang ELAPSED TIME,Anthony LOBELLO POSITION,Anthony LOBELLO LAP TIME,Anthony LOBELLO ELAPSED TIME
0,7.967,7.967,0,7.786,7.786,0,7.879,7.879,0,7.805,7.805,0,7.610,7.610,0,7.684,7.684,0,8.216,8.216
0,11.114,19.080,0,10.901,18.687,0,11.319,19.198,0,11.107,18.912,0,11.105,18.715,0,10.910,18.593,0,11.152,19.367
0,10.427,29.507,0,10.609,29.296,0,10.414,29.611,0,10.550,29.462,0,10.817,29.531,0,10.588,29.181,0,10.308,29.675
0,10.585,40.092,0,10.315,39.611,0,10.810,40.421,0,10.423,39.885,0,10.750,40.281,0,10.617,39.798,0,10.782,40.457
0,10.867,50.959,0,10.103,49.713,0,9.724,50.145,0,10.433,50.317,0,9.788,50.070,0,9.969,49.767,0,9.706,50.163
0,8.703,59.662,0,10.057,59.770,0,10.061,1:00.206,0,9.725,1:00.042,0,9.941,1:00.010,0,9.978,59.745,0,10.098,1:00.261
0,9.780,1:09.442,0,9.751,1:09.521,0,9.742,1:09.948,0,9.504,1:09.545,0,9.585,1:09.595,0,9.339,1:09.084,0,9.280,1:09.542
0,9.778,1:19.221,0,9.813,1:19.333,0,9.554,1:19.502,0,9.750,1:19.296,0,9.443,1:19.038,0,9.501,1:18.585,0,9.624,1:19.166
0,9.835,1:29.056,0,10.007,1:29.340,0,9.736,1:29.238,0,9.957,1:29.252,0,10.398,1:29.436,0,10.284,1:28.869,0,10.215,1:29.381
0,9.768,1:38.824,0,9.656,1:38.996,0,9.502,1:38.740,0,9.592,1:38.844,0,9.521,1:38.957,0,9.542,1:38.410,0,9.681,1:39.062
0,9.174,1:47.997,0,9.212,1:48.208,0,9.595,1:48.336,0,9.339,1:48.182,0,9.555,1:48.513,0,9.833,1:48.244,0,9.375,1:48.437
0,9.221,1:57.218,0,10.112,1:58.320,0,9.885,1:58.221,0,9.130,1:57.312,0,9.488,1:58.001,0,9.737,1:57.981,0,10.092,1:58.529
0,9.444,2:06.662,0,9.614,2:07.935,0,10.779,2:09.000,0,9.408,2:06.720,0,9.723,2:07.724,0,10.348,2:08.328,0,9.777,2:08.307
0,9.943,2:16.605,0,9.672,2:17.607,0,10.874,2:19.874,0,10.052,2:16.772,0,9.781,2:17.504,0,10.482,2:18.810,0,10.322,2:18.628
