Artem DENISOV POSITION,Artem DENISOV LAP TIME,Artem DENISOV ELAPSED TIME,Samuel GIRARD POSITION,Samuel GIRARD LAP TIME,Samuel GIRARD ELAPSED TIME,Roberts ZVEJNIEKS POSITION,Roberts ZVEJNIEKS LAP TIME,Roberts ZVEJNIEKS ELAPSED TIME,KIKUCHI Kota POSITION,KIKUCHI Kota LAP TIME,KIKUCHI Kota ELAPSED TIME
4,15.95,15.95,2,15.82,15.82,3,15.95,15.95,1,15.67,15.67
3,11.34,27.29,2,11.35,27.17,4,11.48,27.43,1,11.37,27.04
3,10.78,38.07,2,10.77,37.94,4,10.80,38.23,1,10.79,37.83
3,10.39,48.46,1,10.34,48.28,4,10.38,48.61,2,10.47,48.30
2,9.59,58.05,1,9.65,57.93,4,9.62,58.23,3,9.77,58.07
2,9.34,1:07.39,1,9.30,1:07.23,3,9.27,1:07.50,4,9.43,1:07.50
2,9.04,1:16.43,1,9.05,1:16.28,3,9.09,1:16.59,4,9.27,1:16.77
2,8.94,1:25.37,1,8.99,1:25.27,3,9.10,1:25.69,4,9.01,1:25.78
2,9.11,1:34.471,1,9.02,1:34.287,4,9.54,1:35.223,3,9.09,1:34.861
