BIRO Kristina POSITION,BIRO Kristina LAP TIME,BIRO Kristina ELAPSED TIME,Selina MUXEL POSITION,Selina MUXEL LAP TIME,Selina MUXEL ELAPSED TIME,Olesya OSKINA POSITION,Olesya OSKINA LAP TIME,Olesya OSKINA ELAPSED TIME,KANG Yun-Mi POSITION,KANG Yun-Mi LAP TIME,KANG Yun-Mi ELAPSED TIME
1,7.281,7.281,3,7.733,7.733,2,7.436,7.436,4,7.774,7.774
2,10.001,17.282,4,10.216,17.948,3,9.875,17.311,1,9.353,17.126
3,9.865,27.146,4,9.523,27.471,2,9.783,27.094,1,9.826,26.952
3,9.764,36.910,4,10.420,37.890,2,9.601,36.694,1,9.494,36.445
3,10.45,47.358,4,10.46,48.349,2,9.95,46.640,1,9.81,46.252
