WALTER Bianca POSITION,WALTER Bianca LAP TIME,WALTER Bianca ELAPSED TIME,VALCEPINA Arianna POSITION,VALCEPINA Arianna LAP TIME,VALCEPINA Arianna ELAPSED TIME,Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,Kristina VUTEVA POSITION,Kristina VUTEVA LAP TIME,Kristina VUTEVA ELAPSED TIME
2,14.57,14.57,1,14.44,14.44,3,14.60,14.60,4,14.91,14.91
2,10.80,25.37,1,10.82,25.26,3,10.89,25.49,4,10.71,25.62
2,11.10,36.47,1,11.06,36.32,3,11.09,36.58,4,11.10,36.72
2,11.14,47.61,1,11.19,47.51,3,11.14,47.72,4,11.17,47.89
1,10.39,58.00,2,10.73,58.24,3,10.57,58.29,4,10.61,58.50
1,9.66,1:07.66,2,9.64,1:07.88,3,9.61,1:07.90,4,10.07,1:08.57
1,9.61,1:17.27,3,9.75,1:17.63,2,9.53,1:17.43,4,10.17,1:18.74
1,9.65,1:26.92,3,9.93,1:27.56,2,9.54,1:26.97,4,10.45,1:29.19
2,9.82,1:36.734,3,10.44,1:37.995,1,9.64,1:36.601,4,11.02,1:40.202
