Yoshiaki OGURO POSITION,Yoshiaki OGURO LAP TIME,Yoshiaki OGURO ELAPSED TIME,Shaoang LIU POSITION,Shaoang LIU LAP TIME,Shaoang LIU ELAPSED TIME,Joshua CHEETHAM POSITION,Joshua CHEETHAM LAP TIME,Joshua CHEETHAM ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,Thomas Insuk HONG POSITION,Thomas Insuk HONG LAP TIME,Thomas Insuk HONG ELAPSED TIME
3,7.08,7.08,2,7.02,7.02,5,7.49,7.49,1,6.87,6.87,4,7.26,7.26
3,9.14,16.22,2,8.85,15.87,5,9.10,16.59,1,8.89,15.76,4,9.02,16.28
4,8.76,24.98,2,8.40,24.27,5,8.64,25.23,1,8.43,24.19,3,8.50,24.78
4,8.75,33.73,1,8.56,32.83,5,8.67,33.90,2,8.69,32.88,3,8.58,33.36
4,8.88,42.61,1,8.77,41.60,5,8.78,42.68,2,8.93,41.81,3,8.77,42.13
