VALCEPINA Martina POSITION,VALCEPINA Martina LAP TIME,VALCEPINA Martina ELAPSED TIME,Hitomi SAITO POSITION,Hitomi SAITO LAP TIME,Hitomi SAITO ELAPSED TIME,Karyna HRYSCHANKA POSITION,Karyna HRYSCHANKA LAP TIME,Karyna HRYSCHANKA ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,Jessica HEWITT POSITION,Jessica HEWITT LAP TIME,Jessica HEWITT ELAPSED TIME,PARK Seung-Hi POSITION,PARK Seung-Hi LAP TIME,PARK Seung-Hi ELAPSED TIME
2,9.54,9.54,4,9.62,9.62,6,9.94,9.94,3,9.57,9.57,5,9.70,9.70,1,9.46,9.46
3,13.47,23.01,4,13.52,23.14,6,13.42,23.36,1,13.18,22.75,5,13.46,23.16,2,13.44,22.90
5,13.39,36.40,1,12.97,36.11,6,13.23,36.59,2,13.46,36.21,4,13.12,36.28,3,13.31,36.21
5,11.84,48.24,1,11.47,47.58,6,11.76,48.35,2,11.48,47.69,3,11.49,47.77,4,11.90,48.11
5,11.72,59.96,1,11.77,59.35,6,11.73,1:00.08,2,11.77,59.46,3,11.77,59.54,4,11.69,59.80
5,11.71,1:11.67,1,11.77,1:11.12,6,11.74,1:11.82,2,11.75,1:11.21,3,11.70,1:11.24,4,11.76,1:11.56
5,11.45,1:23.12,1,11.47,1:22.59,6,11.41,1:23.23,2,11.42,1:22.63,3,11.45,1:22.69,4,11.44,1:23.00
5,10.84,1:33.96,2,10.79,1:33.38,6,11.11,1:34.34,3,10.76,1:33.39,1,10.56,1:33.25,4,10.76,1:33.76
5,10.00,1:43.96,3,10.19,1:43.57,6,11.40,1:45.74,2,10.07,1:43.46,1,10.06,1:43.31,4,9.91,1:43.67
5,9.77,1:53.73,3,9.88,1:53.45,6,11.86,1:57.60,2,9.87,1:53.33,1,9.86,1:53.17,4,9.86,1:53.53
5,9.77,2:03.50,4,9.81,2:03.26,6,12.36,2:09.96,2,9.68,2:03.01,1,9.75,2:02.92,3,9.58,2:03.11
5,10.02,2:13.52,4,9.87,2:13.13,6,14.19,2:24.15,3,9.89,2:12.90,1,9.86,2:12.78,2,9.75,2:12.86
5,10.34,2:23.86,4,9.94,2:23.07,6,12.80,2:36.95,3,9.82,2:22.72,2,9.82,2:22.60,1,9.57,2:22.43
5,11.40,2:35.253,4,10.87,2:33.933,6,13.24,2:50.181,3,10.08,2:32.799,2,10.15,2:32.747,1,10.24,2:32.670
