Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME,Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME,Yu MIURA POSITION,Yu MIURA LAP TIME,Yu MIURA ELAPSED TIME,Hannes KROEGER POSITION,Hannes KROEGER LAP TIME,Hannes KROEGER ELAPSED TIME
2,13.43,13.43,3,13.56,13.56,4,13.71,13.71,1,13.34,13.34
2,10.67,24.10,1,10.44,24.00,3,10.47,24.18,4,10.87,24.21
4,10.03,34.13,1,9.81,33.81,3,9.85,34.03,2,9.74,33.95
4,9.79,43.92,1,9.79,43.60,3,9.77,43.80,2,9.77,43.72
4,9.52,53.44,1,9.50,53.10,3,9.56,53.36,2,9.56,53.28
4,9.25,1:02.69,1,9.22,1:02.32,3,9.29,1:02.65,2,9.28,1:02.56
4,9.18,1:11.87,1,9.15,1:11.47,2,9.02,1:11.67,3,9.12,1:11.68
4,9.28,1:21.15,1,9.27,1:20.74,2,9.39,1:21.06,3,9.46,1:21.14
0,,PEN,1,9.54,1:30.278,2,9.69,1:30.742,3,12.73,1:33.861
