Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME,LIU Qiuhong POSITION,LIU Qiuhong LAP TIME,LIU Qiuhong ELAPSED TIME,HWANG Hyun Sun POSITION,HWANG Hyun Sun LAP TIME,HWANG Hyun Sun ELAPSED TIME,FAN Kexin POSITION,FAN Kexin LAP TIME,FAN Kexin ELAPSED TIME
3,13.35,13.35,2,13.28,13.28,4,13.46,13.46,1,13.20,13.20
4,10.63,23.98,2,10.46,23.74,3,10.39,23.85,1,10.46,23.66
2,9.99,33.97,3,10.25,33.99,4,10.25,34.10,1,10.26,33.92
3,9.79,43.76,1,9.59,43.58,4,9.78,43.88,2,9.73,43.65
2,9.94,53.70,1,10.06,53.64,4,10.03,53.91,3,10.07,53.72
2,9.90,1:03.60,1,9.96,1:03.60,4,9.95,1:03.86,3,10.05,1:03.77
2,10.04,1:13.64,1,9.86,1:13.46,4,10.03,1:13.89,3,10.04,1:13.81
2,9.95,1:23.59,1,10.06,1:23.52,3,9.78,1:23.67,4,9.88,1:23.69
4,11.26,1:34.850,1,9.85,1:33.369,2,9.80,1:33.469,3,10.49,1:34.180
