Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,Tsvetan TSANKOV POSITION,Tsvetan TSANKOV LAP TIME,Tsvetan TSANKOV ELAPSED TIME,LIM Yong Jin POSITION,LIM Yong Jin LAP TIME,LIM Yong Jin ELAPSED TIME,REN Haobo POSITION,REN Haobo LAP TIME,REN Haobo ELAPSED TIME
1,6.91,6.91,2,6.98,6.98,4,7.27,7.27,3,7.11,7.11,5,7.56,7.56
1,8.92,15.83,3,8.93,15.91,4,9.07,16.34,2,8.77,15.88,5,8.93,16.49
3,8.93,24.76,1,8.44,24.35,5,8.85,25.19,2,8.51,24.39,4,8.58,25.07
3,8.97,33.73,1,8.65,33.00,5,8.94,34.13,2,8.64,33.03,4,8.76,33.83
3,8.87,42.60,1,8.66,41.66,5,9.15,43.28,2,8.76,41.79,4,8.89,42.72
