Marina GEORGIEVA-NIKOLOVA POSITION,Marina GEORGIEVA-NIKOLOVA LAP TIME,Marina GEORGIEVA-NIKOLOVA ELAPSED TIME,Christin PRIEBST POSITION,Christin PRIEBST LAP TIME,Christin PRIEBST ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,LIU Qiuhong POSITION,LIU Qiuhong LAP TIME,LIU Qiuhong ELAPSED TIME
1,7.35,7.35,3,7.93,7.93,2,7.61,7.61,4,11.72,11.72
1,9.64,16.99,3,9.89,17.82,2,9.76,17.37,4,10.99,22.71
1,9.37,26.36,3,9.30,27.12,2,9.17,26.54,4,9.42,32.13
1,9.53,35.89,3,9.40,36.52,2,9.35,35.89,4,9.46,41.59
2,9.79,45.675,3,9.59,46.111,1,9.60,45.485,4,9.74,51.329
