SEJPAL Zdenek POSITION,SEJPAL Zdenek LAP TIME,SEJPAL Zdenek ELAPSED TIME,ANDERMANN Dominic POSITION,ANDERMANN Dominic LAP TIME,ANDERMANN Dominic ELAPSED TIME,PIVIROTTO Ryan POSITION,PIVIROTTO Ryan LAP TIME,PIVIROTTO Ryan ELAPSED TIME,NEMIRO Nikita POSITION,NEMIRO Nikita LAP TIME,NEMIRO Nikita ELAPSED TIME,SHULGINOV Alexander POSITION,SHULGINOV Alexander LAP TIME,SHULGINOV Alexander ELAPSED TIME,REN Ziwei POSITION,REN Ziwei LAP TIME,REN Ziwei ELAPSED TIME,HANDEI Oleh POSITION,HANDEI Oleh LAP TIME,HANDEI Oleh ELAPSED TIME
2,10.57,10.57,4,10.88,10.88,3,10.73,10.73,6,11.19,11.19,7,11.36,11.36,1,10.41,10.41,5,10.97,10.97
2,15.32,25.89,6,15.26,26.14,3,15.29,26.02,5,14.92,26.11,7,14.85,26.21,1,15.31,25.72,4,15.10,26.07
5,13.92,39.81,7,13.96,40.10,3,13.56,39.58,2,13.27,39.38,6,13.73,39.94,4,14.01,39.73,1,13.14,39.21
6,12.50,52.31,7,12.38,52.48,3,12.48,52.06,2,12.57,51.95,5,12.32,52.26,4,12.48,52.21,1,12.60,51.81
5,12.51,1:04.82,7,12.55,1:05.03,3,12.50,1:04.56,2,12.49,1:04.44,6,12.62,1:04.88,4,12.53,1:04.74,1,12.49,1:04.30
5,12.58,1:17.40,7,12.54,1:17.57,3,12.54,1:17.10,2,12.56,1:17.00,6,12.56,1:17.44,4,12.52,1:17.26,1,12.57,1:16.87
3,11.36,1:28.76,7,11.54,1:29.11,1,11.59,1:28.69,5,11.93,1:28.93,6,11.53,1:28.97,1,11.43,1:28.69,3,11.89,1:28.76
2,9.63,1:38.39,6,9.62,1:38.73,3,9.84,1:38.53,7,9.91,1:38.84,5,9.64,1:38.61,1,9.61,1:38.30,4,9.82,1:38.58
3,9.59,1:47.98,6,9.56,1:48.29,2,9.44,1:47.97,7,9.62,1:48.46,4,9.54,1:48.15,1,9.60,1:47.90,5,9.58,1:48.16
4,9.46,1:57.44,6,9.28,1:57.57,2,9.27,1:57.24,7,9.32,1:57.78,3,9.14,1:57.29,1,9.19,1:57.09,5,9.33,1:57.49
4,8.91,2:06.35,6,9.11,2:06.68,2,8.83,2:06.07,7,9.20,2:06.98,3,8.90,2:06.19,1,8.87,2:05.96,5,9.12,2:06.61
4,8.90,2:15.25,6,9.09,2:15.77,3,8.65,2:14.72,7,9.17,2:16.15,2,8.51,2:14.70,1,8.50,2:14.46,5,9.05,2:15.66
4,9.12,2:24.37,6,9.31,2:25.08,3,8.87,2:23.59,7,9.41,2:25.56,2,8.80,2:23.50,1,8.51,2:22.97,5,9.19,2:24.85
4,9.30,2:33.674,6,9.59,2:34.675,3,8.98,2:32.575,7,9.94,2:35.507,2,8.99,2:32.492,1,8.88,2:31.856,5,9.56,2:34.416
