Mara ZINI POSITION,Mara ZINI LAP TIME,Mara ZINI ELAPSED TIME,Amanda OVERLAND POSITION,Amanda OVERLAND LAP TIME,Amanda OVERLAND ELAPSED TIME,RI Hyang Mi POSITION,RI Hyang Mi LAP TIME,RI Hyang Mi ELAPSED TIME,Vera ANTANENKA POSITION,Vera ANTANENKA LAP TIME,Vera ANTANENKA ELAPSED TIME
2,16.972,16.972,1,16.846,16.846,3,17.022,17.022,4,17.116,17.116
3,13.488,30.459,2,13.555,30.401,1,13.325,30.346,4,13.509,30.625
3,12.048,42.507,2,11.820,42.221,1,11.536,41.882,4,12.051,42.676
3,11.269,53.776,2,11.225,53.445,1,11.480,53.361,4,11.256,53.931
2,10.616,1:04.392,3,11.000,1:04.444,1,10.761,1:04.122,4,10.584,1:04.515
3,10.396,1:14.788,2,10.223,1:14.667,1,10.448,1:14.569,4,10.631,1:15.145
3,10.399,1:25.186,1,10.258,1:24.925,2,10.580,1:25.149,4,10.380,1:25.525
3,9.930,1:35.115,1,10.012,1:34.936,2,9.896,1:35.045,4,10.165,1:35.689
2,10.24,1:45.348,1,10.03,1:44.966,3,10.44,1:45.483,4,10.28,1:45.965
