KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME,Alex BRYANT POSITION,Alex BRYANT LAP TIME,Alex BRYANT ELAPSED TIME,Thibaut MELINE POSITION,Thibaut MELINE LAP TIME,Thibaut MELINE ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,Firat YARDIMCI POSITION,Firat YARDIMCI LAP TIME,Firat YARDIMCI ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,Edin BRANKOVIC POSITION,Edin BRANKOVIC LAP TIME,Edin BRANKOVIC ELAPSED TIME
5,9.22,9.22,7,9.43,9.43,1,8.94,8.94,6,9.39,9.39,3,9.06,9.06,2,8.97,8.97,4,9.09,9.09
5,11.51,20.73,6,11.58,21.01,4,11.62,20.56,7,11.88,21.27,3,11.38,20.44,2,11.20,20.17,1,10.90,19.99
5,9.86,30.59,6,9.74,30.75,4,9.92,30.48,7,9.82,31.09,3,9.96,30.40,2,9.81,29.98,1,9.90,29.89
5,10.00,40.59,6,9.94,40.69,4,9.95,40.43,7,9.69,40.78,3,9.95,40.35,2,9.98,39.96,1,9.98,39.87
5,9.98,50.57,6,9.98,50.67,4,9.96,50.39,7,10.01,50.79,3,9.85,50.20,2,9.98,49.94,1,9.95,49.82
5,9.77,1:00.34,7,9.80,1:00.47,4,9.83,1:00.22,6,9.64,1:00.43,3,9.90,1:00.10,2,10.06,1:00.00,1,10.10,59.92
5,10.03,1:10.37,7,10.09,1:10.56,4,10.04,1:10.26,6,10.03,1:10.46,2,9.95,1:10.05,1,9.99,1:09.99,3,10.22,1:10.14
5,10.26,1:20.63,7,10.27,1:20.83,4,10.23,1:20.49,6,10.26,1:20.72,2,10.24,1:20.29,1,10.18,1:20.17,3,10.25,1:20.39
6,10.04,1:30.67,7,10.05,1:30.88,3,10.00,1:30.49,5,9.89,1:30.61,1,9.95,1:30.24,2,10.14,1:30.31,4,10.12,1:30.51
5,9.82,1:40.49,6,9.76,1:40.64,2,9.62,1:40.11,4,9.63,1:40.24,3,9.92,1:40.16,1,9.66,1:39.97,7,10.14,1:40.65
4,9.59,1:50.08,6,9.93,1:50.57,3,9.64,1:49.75,1,9.28,1:49.52,5,9.97,1:50.13,2,9.70,1:49.67,7,10.38,1:51.03
3,9.02,1:59.10,6,10.30,2:00.87,4,9.36,1:59.11,1,9.23,1:58.75,5,10.04,2:00.17,2,9.31,1:58.98,7,10.70,2:01.73
1,9.01,2:08.11,6,10.92,2:11.79,4,9.51,2:08.62,2,9.38,2:08.13,5,10.56,2:10.73,3,9.30,2:08.28,7,11.17,2:12.90
1,9.24,2:17.35,6,11.68,2:23.47,4,10.05,2:18.67,2,9.52,2:17.65,5,10.98,2:21.71,3,9.54,2:17.82,7,11.12,2:24.02
