Andrey STARZHINSKIY POSITION,Andrey STARZHINSKIY LAP TIME,Andrey STARZHINSKIY ELAPSED TIME,NOH Jinkyu POSITION,NOH Jinkyu LAP TIME,NOH Jinkyu ELAPSED TIME,Yoshiaki OGURO POSITION,Yoshiaki OGURO LAP TIME,Yoshiaki OGURO ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME
1,12.98,12.98,3,13.48,13.48,2,13.11,13.11,4,13.57,13.57
1,9.79,22.77,3,9.65,23.13,2,9.66,22.77,4,9.65,23.22
2,9.75,32.52,3,9.59,32.72,1,9.66,32.43,4,9.63,32.85
2,9.73,42.25,3,9.65,42.37,1,9.70,42.13,4,9.68,42.53
3,9.76,52.01,2,9.46,51.83,1,9.44,51.57,4,9.51,52.04
4,9.90,1:01.91,1,9.35,1:01.18,2,9.85,1:01.42,3,9.73,1:01.77
4,9.92,1:11.83,1,9.65,1:10.83,2,9.89,1:11.31,3,9.73,1:11.50
4,10.00,1:21.83,1,9.97,1:20.80,2,10.16,1:21.47,3,10.07,1:21.57
4,10.38,1:32.209,1,10.19,1:30.988,3,10.47,1:31.938,2,10.23,1:31.800
